run_id,ddb_seconds,count_min,count_max,count_sum,zero_count,object_pixels,object_count_sum,object_zero_count,variance_min,variance_max,variance_sum,variance_nonfinite,variance_negative
90,0.79517675399984,0,64,12575874,4,251352,5824800,4,0.0,62.6171875,328463.5203465025,0,0
91,0.8181855500001802,0,66,12643158,7,251352,5817218,0,0.0,78.24056243896484,332829.8010787223,0,0
92,0.8162996939995537,0,63,12569220,19,251352,5752164,3,0.0,55.76953125,328239.6849674596,0,0
93,0.8194984679998925,0,70,12618841,6,251352,5762058,1,0.0,89.46672821044922,321961.38483412034,0,0
94,0.8120177769997099,0,60,12662452,1,251352,5856323,0,0.0,52.21786117553711,326828.6573765269,0,0
95,0.804788138999811,1,58,12538347,0,251352,5803593,0,0.0,161.23828125,328830.55006782705,0,0
96,0.898327793000135,0,66,12501437,5,251352,5733525,0,0.0,76.546875,330552.9154533604,0,0
97,0.8952453990000322,0,61,12539813,3,251352,5816177,0,0.0,45.477996826171875,333190.1534951499,0,0
98,0.863269966000189,0,57,12511298,34,251352,5752116,6,0.0,50.953125,343920.70340872277,0,0
99,0.8976182709998284,0,60,12575901,5,251352,5768624,0,0.0,102.62109375,341796.55527983716,0,0
100,0.9060220390001632,0,68,12677956,1,251352,5796816,1,0.0,75.77278900146484,341235.346902749,0,0
101,0.8882460119998541,0,63,12633814,3,251352,5817287,0,0.0,89.828125,337471.45033713244,0,0
102,0.8787997439999344,0,62,12586273,4,251352,5790394,4,0.0,74.126953125,332872.5071631367,0,0
103,0.8752124249999724,0,64,12527335,8,251352,5733585,0,0.0,69.1171875,343109.71929849597,0,0
104,0.8505013939998207,0,61,12581451,2,251352,5804692,2,0.0,94.056640625,338520.06535595306,0,0
105,0.8278829330001827,0,58,12647942,4,251352,5848847,0,0.0,70.1015625,335097.55095645867,0,0
106,0.8222537300002841,0,59,12662187,3,251352,5818764,1,0.0,96.58984375,334752.368136766,0,0
107,0.8613251280003169,0,60,12657615,8,251352,5824876,0,0.0,50.19272994995117,333038.9692855867,0,0
108,0.9006986599997617,0,65,12695240,2,251352,5856777,0,0.0,64.12109375,326920.3294995576,0,0
109,0.8978271940000013,0,63,12576338,6,251352,5778015,0,0.0,62.5234375,333177.3955403014,0,0
110,0.8942534369998612,0,59,12613999,6,251352,5787875,0,0.0,71.2734375,335066.89449462516,0,0
111,0.8932124789998852,0,74,12623192,1,251352,5815658,0,0.0,53.88788986206055,326805.1638034807,0,0
112,0.8999198280002929,0,62,12595704,5,251352,5804314,3,0.0,59.921875,324950.57289974927,0,0
113,0.9178039600001284,0,61,12615729,19,251352,5795994,2,0.0,60.10026168823242,328162.6374563668,0,0
114,0.9223166349997882,0,59,12692285,3,251352,5849133,0,0.0,49.69270706176758,327409.1475428197,0,0
115,0.9105453760003002,0,59,12640872,7,251352,5824264,0,0.0,96.671875,327582.89764181443,0,0
116,0.8781577750000906,0,63,12565224,1,251352,5774177,0,0.0,176.1419219970703,326010.4259397273,0,0
