variant,support,radius_mm,mean_rsp,std_rsp,pixels,dataset,ddb,fov_mm,hann
s2_fov210_hann0,False,22.875,1.0132721171207857,0.017394374863536653,3648,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,23.125,1.0128430245404547,0.017282815436309842,3572,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,23.375,1.0128603995514986,0.01749257940218662,3744,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,23.625,1.0146397665832274,0.01757389615843972,3632,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,23.875,1.0153191644909247,0.018105652568010194,3816,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,24.125,1.0146387916745492,0.018326174660865106,3708,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,24.375,1.0145910905931539,0.017533461277757786,3936,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,24.625,1.014490088368328,0.018224392065627523,3744,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,24.875,1.0139653957430348,0.017738080134665997,4016,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,25.125,1.013462046751515,0.01692802031380474,3888,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,25.375,1.012870979872113,0.016846485363073028,4044,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,25.625,1.0127965673924453,0.01713056172903251,3968,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,25.875,1.0137575097990872,0.01795657479530957,4112,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,26.125,1.0140099479454978,0.0169594506960529,4056,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,26.375,1.0132448843750594,0.01797541509138177,4188,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,26.625,1.0135331984428526,0.017822852350869105,4120,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,26.875,1.0137948603691342,0.018146574852959004,4280,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,27.125,1.013144403866359,0.01732827482517024,4200,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,27.375,1.013113973120613,0.01730743400879174,4388,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,27.625,1.0145221053712112,0.01820284156663082,4248,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,27.875,1.0144240363813695,0.018030132288165267,4432,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,28.125,1.0120811158429472,0.017360194563558307,4408,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,28.375,1.0118304063031014,0.016985715669039787,4512,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,28.625,1.0131788298501172,0.01875171080220346,4412,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,28.875,1.0138071802647217,0.01833701320989111,4600,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,29.125,1.0143232682114385,0.018263522654866814,4504,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,29.375,1.012883468385355,0.018196265509680537,4704,vacuum,corrected,210.0,0.0
