variant,dataset,ddb,size,spacing_mm,fov_mm,hann,support,fdk_seconds,image_path,finite,image_min,image_max,water_core_mean_rsp,water_core_std_rsp,water_bias_vs_fixed_rsp,water_bias_vs_effective_rsp,phantom_rmse_vs_fixed_rsp,phantom_rmse_vs_effective_rsp,boundary_inner_rmse_vs_fixed_rsp,boundary_inner_rmse_vs_effective_rsp,outside_100_105_rmse_rsp,outside_100_105_mean_abs_rsp,outside_100_105_peak_abs_rsp,edge_r90_mm,edge_r10_mm,edge_10_90_width_mm,water_core_clearance_from_material_mm,phantom_rmse_vs_nominal_rsp,phantom_mae_vs_nominal_rsp,material_mape_non_air,material_max_ape_non_air,fmtf50_mean_lp_per_mm,fmtf10_mean_lp_per_mm
s2_fov210_hann1,vacuum,corrected,2100,0.1,210.0,1.0,False,0.0,data/reconstruction_data/results0717_s2_water_vacuum_pilot/analytic/variants/s2_fov210_hann1.mhd,True,-0.15079855918884277,1.0492738485336304,1.0137747526168823,0.006893801968544722,0.013774752616882324,0.0002570152282714844,0.031575196884095984,0.02973838270812393,0.06239244274187069,0.0641370041926495,0.09605786336390654,0.034931886941194534,0.5365936160087585,99.47007160187907,100.52472727172669,1.0546556698476195,,,,,,,
s2_fov210_hann1,vacuum,corrected,2100,0.1,210.0,1.0,True,0.0,data/reconstruction_data/results0717_s2_water_vacuum_pilot/analytic/variants/s2_fov210_hann1.mhd,True,0.0,1.0492738485336304,1.0137747526168823,0.006893801968544722,0.013774752616882324,0.0002570152282714844,0.031671540207339255,0.02989075354784988,0.06239244274187069,0.0641370041926495,0.0,0.0,0.0,99.47017296620176,100.08520413151172,0.6150311653099578,,,,,,,
s3_uncorrected_fov210_hann0,air,uncorrected,2100,0.1,210.0,0.0,False,0.0,data/reconstruction_data/results0717_s3_water_air_pilot/analytic/variants/s3_uncorrected_fov210_hann0.mhd,True,-0.3423474133014679,1.1638355255126953,1.0135433673858643,0.02188834547996521,0.013543367385864258,2.562999725341797e-05,0.03184190816464508,0.02943931336975771,0.04626312203355487,0.046397643719032586,0.07880335897688004,0.03423316031694412,0.6444591283798218,99.67121913259355,100.30045316767752,0.629234035083968,,,,,,,
s3_uncorrected_fov210_hann0,air,uncorrected,2100,0.1,210.0,0.0,True,0.0,data/reconstruction_data/results0717_s3_water_air_pilot/analytic/variants/s3_uncorrected_fov210_hann0.mhd,True,0.0,1.1638355255126953,1.0135433673858643,0.02188834547996521,0.013543367385864258,2.562999725341797e-05,0.03185114989540707,0.0295023196955245,0.04626312203355487,0.046397643719032586,0.0,0.0,0.0,99.67152242876091,100.09123492199686,0.4197124932359486,,,,,,,
s3_corrected_fov210_hann0,air,corrected,2100,0.1,210.0,0.0,False,0.0,data/reconstruction_data/results0717_s3_water_air_pilot/analytic/variants/s3_corrected_fov210_hann0.mhd,True,-0.34385961294174194,1.1635662317276,1.0137614011764526,0.0218905471265316,0.013761401176452637,0.00024366378784179688,0.0319591349023104,0.02953111668184323,0.04646412286347335,0.046750020889214004,0.07838477963569675,0.03400486707687378,0.6423400640487671,99.66914223978884,100.30034770190227,0.631205462113428,,,,,,,
s3_corrected_fov210_hann0,air,corrected,2100,0.1,210.0,0.0,True,0.0,data/reconstruction_data/results0717_s3_water_air_pilot/analytic/variants/s3_corrected_fov210_hann0.mhd,True,0.0,1.1635662317276,1.0137614011764526,0.0218905471265316,0.013761401176452637,0.00024366378784179688,0.031983293121378556,0.029609863228702425,0.04646412286347335,0.046750020889214004,0.0,0.0,0.0,99.66923235784913,100.09113671060386,0.42190435275473703,,,,,,,
s4_corrected_fov210_hann0,material,corrected,2100,0.1,210.0,0.0,False,0.0,data/reconstruction_data/results0717_s4_material_calibration_air_pilot/analytic/variants/s4_corrected_fov210_hann0.mhd,True,-0.4521559476852417,2.2463393211364746,1.0137356519699097,0.031316325068473816,,,,,,,,,,,,,2.0,0.0539997506572281,0.0328286811709404,0.011696773348376155,0.01791994273662567,,
s4_corrected_fov210_hann0,material,corrected,2100,0.1,210.0,0.0,True,0.0,data/reconstruction_data/results0717_s4_material_calibration_air_pilot/analytic/variants/s4_corrected_fov210_hann0.mhd,True,-0.0927143543958664,2.2463393211364746,1.0137356519699097,0.031316325068473816,,,,,,,,,,,,,2.0,0.0539997506572281,0.0328286811709404,0.011696773348376155,0.01791994273662567,,
s5_corrected_fov210_hann0,resolution,corrected,2100,0.1,210.0,0.0,False,0.0,data/reconstruction_data/results0717_s5_resolution_air_pilot/analytic/variants/s5_corrected_fov210_hann0.mhd,True,-0.43442022800445557,2.1854779720306396,1.0137310028076172,0.026419000700116158,,,,,,,,,,,,,2.0,0.05836309543763344,0.031029868870973587,,,0.5017021521078606,1.0880106262763711
s5_corrected_fov210_hann0,resolution,corrected,2100,0.1,210.0,0.0,True,0.0,data/reconstruction_data/results0717_s5_resolution_air_pilot/analytic/variants/s5_corrected_fov210_hann0.mhd,True,0.0,2.1854779720306396,1.0137310028076172,0.026419000700116158,,,,,,,,,,,,,2.0,0.05836309543763344,0.031029868870973587,,,0.5017021521078606,1.0880106262763711
