run_id,ddb_seconds,count_min,count_max,count_sum,zero_count,object_pixels,object_count_sum,object_zero_count,variance_min,variance_max,variance_sum,variance_nonfinite,variance_negative
134,1.1240489070000876,1,101,19538865,0,251352,8634235,0,0.0,34.98046875,191695.4336557457,0,0
135,1.085664860999941,1,90,19649638,0,251352,8673107,0,0.0,32.55859375,197925.22205393296,0,0
136,1.0681713339999988,1,93,19585251,0,251352,8648687,0,0.0,30.3125,186940.90140110382,0,0
137,1.0648076739998942,1,99,19564045,0,251352,8642119,0,0.0,39.954612731933594,191164.5510337432,0,0
138,1.0491041779998795,1,110,19614557,0,251352,8604198,0,0.0,23.67317771911621,192711.10076729115,0,0
139,1.0352439169998888,2,93,19547124,0,251352,8598684,0,0.0,25.43619728088379,190817.50943796616,0,0
140,1.1335574629999883,1,96,19506996,0,251352,8551411,0,0.0,37.890625,190197.81533297338,0,0
141,1.1125348850000591,1,108,19582792,0,251352,8591281,0,0.0,21.328125,189631.542091907,0,0
142,1.0940692899998794,0,93,19604626,2,251352,8634028,0,0.0,16.5234375,190611.71187128685,0,0
143,1.1086653240001851,1,91,19778748,0,251352,8725365,0,0.0,42.45390701293945,191861.41775836935,0,0
144,1.1060479310001483,1,92,19548868,0,251352,8652427,0,0.0,21.601167678833008,192965.1489950195,0,0
145,1.0932603620001373,1,95,19490062,0,251352,8570594,0,0.0,15.405901908874512,192995.21313626878,0,0
146,1.0905695939998168,1,95,19560702,0,251352,8589982,0,0.0,32.38671875,186517.17472689506,0,0
147,1.0999457839998286,2,97,19522377,0,251352,8618488,0,0.0,28.61588478088379,192003.88325697742,0,0
148,1.1765468590001547,2,100,19625855,0,251352,8626101,0,0.0,16.250782012939453,192743.26103012636,0,0
149,1.1810735009999007,0,93,19704298,2,251352,8736086,0,0.0,23.91275978088379,186313.81851121224,0,0
150,1.1809927130000233,1,98,19482381,0,251352,8602458,0,0.0,27.273958206176758,191413.0882400428,0,0
151,1.165867409999919,2,104,19580631,0,251352,8610429,0,0.0,20.32161521911621,193009.99685283285,0,0
