run_id,ddb_seconds,count_min,count_max,count_sum,zero_count,object_pixels,object_count_sum,object_zero_count,variance_min,variance_max,variance_sum,variance_nonfinite,variance_negative,dataset,candidate,selected_train,reused,finite
73,0.5940755129995523,0,66,12888069,3,251352,5915342,0,0.0,58.8359375,264478.6968003622,0,0,s3,baseline_3sigma,52147,False,True
74,0.6339416870032437,1,65,12926010,0,251352,5944473,0,0.0,41.04296875,259909.0669123533,0,0,s3,baseline_3sigma,52132,False,True
75,0.5739387569992687,0,57,12856557,1,251352,5935370,0,0.0,29.78515625,261597.051628276,0,0,s3,baseline_3sigma,51740,False,True
76,0.5485318670034758,1,60,12810290,0,251352,5908089,0,0.0,46.49192810058594,262121.65377381782,0,0,s3,baseline_3sigma,51776,False,True
77,0.6188862839990179,0,60,12828506,2,251352,5899147,0,0.0,40.185546875,260572.2852974705,0,0,s3,baseline_3sigma,52022,False,True
78,0.5778292079994571,0,62,12776681,16,251352,5891018,0,0.0,40.974609375,262971.47012351453,0,0,s3,baseline_3sigma,51992,False,True
79,0.58477865599707,0,57,12804702,8,251352,5895878,0,0.0,47.720703125,260977.96556351954,0,0,s3,baseline_3sigma,51898,False,True
80,0.6451175429974683,0,63,12837292,1,251352,5933065,0,0.0,41.25911331176758,262987.92352381564,0,0,s3,baseline_3sigma,52099,False,True
81,0.5669797090013162,1,64,12826306,0,251352,5947819,0,0.0,41.947265625,252909.63490969333,0,0,s3,baseline_3sigma,52073,False,True
82,0.5868231659987941,1,66,12791285,0,251352,5862856,0,0.0,42.93294143676758,263625.4284723295,0,0,s3,baseline_3sigma,51951,False,True
83,0.5781968059964129,0,64,12784902,3,251352,5934563,0,0.0,44.912109375,266893.4618601851,0,0,s3,baseline_3sigma,51792,False,True
84,0.4630445939983474,1,65,12814907,0,251352,5908317,0,0.0,53.452606201171875,263914.6272108951,0,0,s3,baseline_3sigma,51939,False,True
85,0.6180600579973543,0,64,12897106,3,251352,5944297,0,0.0,20.03515625,257175.96196841658,0,0,s3,baseline_3sigma,52160,False,True
86,0.6305259989967453,0,63,12817191,1,251352,5892545,0,0.0,33.6484375,263501.94420837716,0,0,s3,baseline_3sigma,51939,False,True
87,0.6218275850042119,0,62,12803271,2,251352,5852161,0,0.0,37.50553894042969,261507.65981855936,0,0,s3,baseline_3sigma,51674,False,True
88,0.5961314250016585,0,62,12915617,5,251352,5943987,0,0.0,29.063899993896484,259723.47007198847,0,0,s3,baseline_3sigma,52274,False,True
89,0.5950387630000478,0,59,12788803,4,251352,5904769,0,0.0,41.23046875,261082.2149316739,0,0,s3,baseline_3sigma,51698,False,True
90,0.5595115089963656,0,61,12787224,5,251352,5916650,0,0.0,83.52799224853516,261792.6553181948,0,0,s3,baseline_3sigma,51798,False,True
91,0.5727954329995555,0,55,12818832,2,251352,5923384,0,0.0,36.782814025878906,265129.4197216309,0,0,s3,baseline_3sigma,51833,False,True
92,0.5848331400047755,0,60,12704303,8,251352,5869563,1,0.0,29.8046875,261864.405780672,0,0,s3,baseline_3sigma,51545,False,True
93,0.6198886310012313,1,62,12843528,0,251352,5928622,0,0.0,87.83203125,259238.59769111563,0,0,s3,baseline_3sigma,52334,False,True
94,0.562830817005306,1,62,12828409,0,251352,5918932,0,0.0,58.80078125,263821.0927209893,0,0,s3,baseline_3sigma,52085,False,True
95,0.6199530520025291,0,69,12923229,1,251352,5944499,1,0.0,34.99609375,262978.628062711,0,0,s3,baseline_3sigma,52083,False,True
96,0.5937245850000181,0,66,12741566,3,251352,5844143,0,0.0,60.69292449951172,264852.8540322476,0,0,s3,baseline_3sigma,51651,False,True
97,0.554966522999166,1,64,12932822,0,251352,5946183,0,0.0,32.34375,256610.39271094312,0,0,s3,baseline_3sigma,52244,False,True
98,0.5885369809984695,0,65,12771653,4,251352,5871910,3,0.0,54.787109375,263051.68587370706,0,0,s3,baseline_3sigma,51882,False,True
99,0.661330614995677,0,63,12824432,10,251352,5888942,0,0.0,33.06180191040039,260241.23609140544,0,0,s3,baseline_3sigma,51942,False,True
100,0.5915775260000373,0,61,12791419,2,251352,5951733,0,0.0,29.17110824584961,256847.40666816823,0,0,s3,baseline_3sigma,52020,False,True
101,0.5944901480033877,0,62,12768751,2,251352,5877808,0,0.0,28.654296875,265148.848890594,0,0,s3,baseline_3sigma,51796,False,True
102,0.575554284005193,0,68,12910818,2,251352,5895988,0,0.0,35.509765625,261274.26259085847,0,0,s3,baseline_3sigma,52437,False,True
103,0.605146624999179,0,62,12838166,8,251352,5894231,4,0.0,55.693359375,257582.11007956477,0,0,s3,baseline_3sigma,52075,False,True
104,0.619849680995685,0,58,12799185,4,251352,5921644,4,0.0,69.83984375,262205.265404687,0,0,s3,baseline_3sigma,51805,False,True
105,0.5619713339983718,0,72,12852717,3,251352,5926641,3,0.0,57.04910659790039,264468.28694264096,0,0,s3,baseline_3sigma,52209,False,True
106,0.6037442950037075,0,61,12765866,11,251352,5869558,0,0.0,159.60546875,266406.8569758544,0,0,s3,baseline_3sigma,51920,False,True
107,0.5643126329960069,1,61,12946190,0,251352,5946341,0,0.0,37.1526985168457,260959.42085994864,0,0,s3,baseline_3sigma,52071,False,True
108,0.6278383880053298,1,60,12878665,0,251352,5951428,0,0.0,28.390625,266237.99182261043,0,0,s3,baseline_3sigma,52110,False,True
109,0.6234853310015751,0,77,12974051,2,251352,5982322,0,0.0,25.51953125,254693.92306113578,0,0,s3,baseline_3sigma,52645,False,True
110,0.5465288749983301,1,67,12897280,0,251352,5949841,0,0.0,56.62109375,263269.6701534881,0,0,s3,baseline_3sigma,52005,False,True
111,0.6357764519998454,1,67,12979060,0,251352,5998868,0,0.0,23.601259231567383,257895.44410150268,0,0,s3,baseline_3sigma,52377,False,True
112,0.6042411840026034,0,65,12863862,6,251352,5951765,0,0.0,84.328125,261812.0575359645,0,0,s3,baseline_3sigma,51930,False,True
113,0.588566105994687,0,64,12756636,16,251352,5879309,3,0.0,47.45703125,260162.1979183962,0,0,s3,baseline_3sigma,51739,False,True
114,0.6001335319961072,1,63,12877817,0,251352,5897869,0,0.0,31.875,262113.89456999267,0,0,s3,baseline_3sigma,51970,False,True
115,0.5597795099965879,0,64,12881368,6,251352,5894264,0,0.0,28.16796875,255988.84837697184,0,0,s3,baseline_3sigma,52208,False,True
116,0.6050774699979229,0,62,12818173,5,251352,5912693,0,0.0,85.501953125,259163.64836215455,0,0,s3,baseline_3sigma,51745,False,True
117,0.6130963069954305,0,65,12835591,15,251352,5897517,2,0.0,48.66341018676758,261857.2472075251,0,0,s3,baseline_3sigma,52027,False,True
118,0.6023043250024784,0,63,13039699,15,251352,6005664,0,0.0,52.07421875,260088.53834722878,0,0,s3,baseline_3sigma,52376,False,True
119,0.5620551289975992,1,66,12877233,0,251352,5934128,0,0.0,28.531389236450195,258882.4479132397,0,0,s3,baseline_3sigma,51941,False,True
120,0.5609677169995848,0,71,12769816,4,251352,5870019,2,0.0,48.32551956176758,264874.9735679014,0,0,s3,baseline_3sigma,51936,False,True
121,0.622909919002268,1,61,12862724,0,251352,5904588,0,0.0,61.04296875,265309.0349022788,0,0,s3,baseline_3sigma,52131,False,True
122,0.6203898349995143,0,71,12885038,2,251352,5955315,0,0.0,21.89453125,258380.98220142126,0,0,s3,baseline_3sigma,51994,False,True
123,0.5431191199968453,0,57,12890973,7,251352,5953665,0,0.0,47.83984375,259517.11503499604,0,0,s3,baseline_3sigma,52210,False,True
124,0.6194746889959788,0,58,12807679,4,251352,5956956,0,0.0,63.54036331176758,264281.2179590183,0,0,s3,baseline_3sigma,51993,False,True
125,0.5756677160024992,0,62,12801391,5,251352,5924114,0,0.0,30.73828125,255767.92119585117,0,0,s3,baseline_3sigma,51985,False,True
126,0.5610078140016412,0,62,12896910,3,251352,5968277,0,0.0,80.33984375,260378.18209164668,0,0,s3,baseline_3sigma,52095,False,True
127,0.6109568510000827,0,62,12866524,3,251352,5967802,0,0.0,37.40147399902344,260272.56195060554,0,0,s3,baseline_3sigma,52180,False,True
128,0.6108649189991411,1,62,12808231,0,251352,5920612,0,0.0,70.12955474853516,257667.53454612356,0,0,s3,baseline_3sigma,52002,False,True
129,0.5617655080059194,1,61,12884997,0,251352,5955541,0,0.0,52.306640625,267900.8486034001,0,0,s3,baseline_3sigma,52079,False,True
130,0.6092350670005544,0,67,12724485,1,251352,5866419,1,0.0,36.67786407470703,267962.7079094683,0,0,s3,baseline_3sigma,51765,False,True
131,0.5738419140034239,0,57,12910544,7,251352,5984829,0,0.0,32.3984375,255219.34801328694,0,0,s3,baseline_3sigma,52044,False,True
132,0.5632766680064378,1,65,12922657,0,251352,5954009,0,0.0,54.92526626586914,258925.88025269864,0,0,s3,baseline_3sigma,52060,False,True
133,0.6008733409980778,1,67,12843388,0,251352,5923430,0,0.0,41.044921875,255986.5606739954,0,0,s3,baseline_3sigma,52006,False,True
134,0.5715701509980136,0,68,12826430,6,251352,5912073,0,0.0,73.12109375,264517.3209918595,0,0,s3,baseline_3sigma,52116,False,True
135,0.5826556190004339,1,63,12916740,0,251352,6006103,0,0.0,29.4375,261099.55352749623,0,0,s3,baseline_3sigma,52021,False,True
136,0.620040813999367,0,61,12882313,3,251352,5893417,0,0.0,28.87890625,260417.82975846148,0,0,s3,baseline_3sigma,52273,False,True
137,0.567009088001214,1,59,12803544,0,251352,5904812,0,0.0,57.099609375,263279.1932465012,0,0,s3,baseline_3sigma,51779,False,True
138,0.5729843930021161,0,61,12787601,2,251352,5902180,2,0.0,28.176172256469727,263661.060283374,0,0,s3,baseline_3sigma,51859,False,True
139,0.612186249003571,0,65,12835528,5,251352,5879304,0,0.0,28.515382766723633,267508.0335491446,0,0,s3,baseline_3sigma,52023,False,True
140,0.5677705540001625,0,59,12807663,9,251352,5919562,0,0.0,43.39453125,262858.53190990066,0,0,s3,baseline_3sigma,51943,False,True
141,0.6008498220035108,1,62,12896002,0,251352,5930105,0,0.0,32.23400115966797,252555.34372962726,0,0,s3,baseline_3sigma,52181,False,True
142,0.5999515549992793,0,65,12888345,2,251352,5927103,0,0.0,52.21331787109375,262756.41066816455,0,0,s3,baseline_3sigma,52175,False,True
143,0.5678913219962851,1,62,12931858,0,251352,5971445,0,0.0,152.2216796875,265656.0856928714,0,0,s3,baseline_3sigma,52421,False,True
144,0.546095666999463,0,64,12859351,2,251352,5900590,0,0.0,68.5380859375,263176.72447991115,0,0,s3,baseline_3sigma,51832,False,True
145,0.5736333000022569,0,62,12830176,2,251352,5924424,0,0.0,30.88802146911621,259736.00966610096,0,0,s3,baseline_3sigma,52019,False,True
146,0.6093118079952546,0,65,12743952,9,251352,5851244,0,0.0,38.578125,263917.047918825,0,0,s3,baseline_3sigma,51947,False,True
147,0.6066207429976203,0,65,12875248,10,251352,5885964,0,0.0,50.6875,263691.757318203,0,0,s3,baseline_3sigma,52058,False,True
148,0.5623304680048022,1,66,12951109,0,251352,5986434,0,0.0,41.5751953125,258370.91627148847,0,0,s3,baseline_3sigma,52388,False,True
149,0.5672783150002942,1,61,12864878,0,251352,5926228,0,0.0,43.12109375,259164.7498119122,0,0,s3,baseline_3sigma,51822,False,True
150,0.5990356040056213,1,65,12912862,0,251352,5942305,0,0.0,34.2421875,256730.63197792647,0,0,s3,baseline_3sigma,52124,False,True
151,0.5654411849973258,0,71,12733449,3,251352,5889574,0,0.0,32.12226486206055,264461.67677818437,0,0,s3,baseline_3sigma,51728,False,True
152,0.5592303839948727,0,72,12830466,17,251352,5888025,6,0.0,38.38364791870117,264735.81723292527,0,0,s3,baseline_3sigma,51906,False,True
153,0.640703224002209,0,59,12836525,6,251352,5959416,0,0.0,44.494140625,263912.2159706393,0,0,s3,baseline_3sigma,52003,False,True
154,0.6046718270008569,1,69,12737535,0,251352,5889033,0,0.0,30.14453125,260137.8790650907,0,0,s3,baseline_3sigma,51660,False,True
155,0.5988030360022094,0,60,12832783,1,251352,5921077,0,0.0,39.12630081176758,260235.64936578527,0,0,s3,baseline_3sigma,52031,False,True
156,0.5870802450008341,1,64,12917346,0,251352,5959130,0,0.0,69.88359069824219,260527.7586284295,0,0,s3,baseline_3sigma,52248,False,True
157,0.5933543840001221,1,63,12898174,0,251352,5910319,0,0.0,119.251953125,257357.53347715456,0,0,s3,baseline_3sigma,52325,False,True
158,0.5420145679963753,0,60,12749782,2,251352,5902934,2,0.0,48.4140625,264262.1724980712,0,0,s3,baseline_3sigma,51725,False,True
159,0.6611436210005195,0,57,12772483,4,251352,5907902,1,0.0,48.120574951171875,263682.0869195434,0,0,s3,baseline_3sigma,51805,False,True
160,0.6021002019988373,1,62,12928413,0,251352,6015401,0,0.0,105.560546875,263185.77420591144,0,0,s3,baseline_3sigma,52248,False,True
