dataset,run_id,partition,total,accepted,retention,clean_mixing_fraction,posterior_p01,posterior_p50
s2,660,validation,8653,7117,0.8224893100658731,0.9271046091958586,6.999951849815267e-37,0.9994915590827095
s2,670,train,69786,57571,0.8249648926718827,0.9249291280141069,6.179885184353617e-39,0.9993655365664676
s2,670,validation,8742,7213,0.8250972317547473,0.9249291280141069,6.179885184353617e-39,0.9993655365664676
s2,680,train,70314,58283,0.8288960946610917,0.9294539964374119,4.857129257779745e-38,0.9995772761116202
s2,680,validation,8735,7226,0.8272467086433887,0.9294539964374119,4.857129257779745e-38,0.9995772761116202
s2,690,train,70290,58020,0.8254374733247972,0.9273089548859479,6.918255018912638e-39,0.9995346336525482
s2,690,validation,8872,7314,0.8243913435527502,0.9273089548859479,6.918255018912638e-39,0.9995346336525482
s2,700,train,70229,57921,0.8247447635592134,0.9252083547252131,2.650909937246126e-42,0.9993984026918726
s2,700,validation,8700,7167,0.8237931034482758,0.9252083547252131,2.650909937246126e-42,0.9993984026918726
s2,710,train,70735,58257,0.8235951085035697,0.9255474051374368,2.4602868146979084e-39,0.999425014089774
s2,710,validation,8772,7217,0.8227314181486548,0.9255474051374368,2.4602868146979084e-39,0.999425014089774
