dataset,run_id,variant,accepted_train,weight_min,weight_median,weight_max,effective_sample_size,effective_fraction
s2,290,inverse_variance,60227,0.33679232001304626,1.0,4.0,39884.42792486257,0.6622350096279503
s2,290,robust_confidence,60227,0.8334216475486755,1.0,1.0,60220.98732801928,0.9999001665037156
s2,290,combined,60227,0.3358701765537262,1.0,4.0,39887.08378897381,0.6622791071940128
s2,291,equal,60229,1.0,1.0,1.0,60229.0,1.0
s2,291,inverse_variance,60229,0.33670246601104736,1.0,4.0,39908.30981162701,0.6626095371270818
s2,291,robust_confidence,60229,0.8342484831809998,1.0,1.0,60222.97958267433,0.9999000412205803
s2,291,combined,60229,0.33697929978370667,1.0,4.0,39909.827678613,0.6626347387240864
s2,292,equal,60379,1.0,1.0,1.0,60379.0,1.0
s2,292,inverse_variance,60379,0.33826157450675964,1.0,4.0,40065.79781603503,0.663571735471522
s2,292,robust_confidence,60379,0.8333452939987183,1.0,1.0,60373.211623777504,0.9999041326252092
s2,292,combined,60379,0.2960335612297058,1.0,4.0,40075.93186054686,0.6637395760205843
s2,293,equal,60588,1.0,1.0,1.0,60588.0,1.0
s2,293,inverse_variance,60588,0.3378896117210388,1.0,4.0,40120.53061226713,0.6621860865562014
s2,293,robust_confidence,60588,0.8335216045379639,1.0,1.0,60581.33274775337,0.9998899575452791
s2,293,combined,60588,0.2852652966976166,1.0,4.0,40129.08484632591,0.6623272734918781
s2,294,equal,60232,1.0,1.0,1.0,60232.0,1.0
s2,294,inverse_variance,60232,0.33655110001564026,1.0,4.0,39877.735424160266,0.6620689238969363
s2,294,robust_confidence,60232,0.8336072564125061,1.0,1.0,60225.73438861421,0.9998959753721313
s2,294,combined,60232,0.32498180866241455,1.0,4.0,39882.25975401414,0.6621440389496305
s2,295,equal,60941,1.0,1.0,1.0,60941.0,1.0
s2,295,inverse_variance,60941,0.3379937708377838,1.0,4.0,40407.255968222235,0.663055348094423
s2,295,robust_confidence,60941,0.8337112069129944,1.0,1.0,60934.69344983257,0.9998965138385089
s2,295,combined,60941,0.3320122957229614,1.0,4.0,40407.39549630664,0.6630576376545617
s2,296,equal,60707,1.0,1.0,1.0,60707.0,1.0
s2,296,inverse_variance,60707,0.3385230600833893,1.0,4.0,40304.39781291149,0.6639168104652098
s2,296,robust_confidence,60707,0.8333953022956848,1.0,1.0,60700.66606953328,0.999895663919042
s2,296,combined,60707,0.32673725485801697,1.0,4.0,40309.645039323346,0.6640032457430501
s2,297,equal,60595,1.0,1.0,1.0,60595.0,1.0
s2,297,inverse_variance,60595,0.33724910020828247,1.0,4.0,40120.71191430086,0.6621125821322034
s2,297,robust_confidence,60595,0.8334211111068726,1.0,1.0,60588.53811822159,0.999893359488763
s2,297,combined,60595,0.31605255603790283,1.0,4.0,40130.95312136918,0.6622815928932945
s2,298,equal,60456,1.0,1.0,1.0,60456.0,1.0
s2,298,inverse_variance,60456,0.3379257321357727,1.0,4.0,40095.32136541638,0.6632149226779207
s2,298,robust_confidence,60456,0.8337415456771851,1.0,1.0,60450.29454807227,0.9999056263740947
s2,298,combined,60456,0.33818137645721436,1.0,4.0,40094.857982732436,0.66320725788561
s2,299,equal,60693,1.0,1.0,1.0,60693.0,1.0
s2,299,inverse_variance,60693,0.33801162242889404,1.0,4.0,40249.973617817726,0.6631732426773718
s2,299,robust_confidence,60693,0.8333536386489868,1.0,1.0,60686.75310174323,0.9998970738263593
s2,299,combined,60693,0.33837151527404785,1.0,4.0,40254.55589815625,0.6632487419991803
s2,300,equal,60514,1.0,1.0,1.0,60514.0,1.0
s2,300,inverse_variance,60514,0.3377695083618164,1.0,4.0,40155.45770735781,0.6635730195881583
