dataset,run_id,total,train,validation,test,pairs_mhd_sha256,validation_mask_sha256,test_mask_sha256
s4,40,87685,70369,8651,8665,3fd195412c1fe789ae046c588e73b5dd5488f2d1ed77608ad2a9a6e0ad500c07,460aa7786418387eca4db199ec0f7e11fdba36bdf3c1928858915874f768ac19,b78b8198a7db84c9260eada084f7dea306d21942a1e23f981436dffb7075c9fa
s4,41,87588,70128,8727,8733,6d452c9c9ae68fc409a7fc74398277c7dce6a9b6b276c7f41e74850c832e7edd,b133d959a4e9b5f56f7023f8024160ea1d84a64f3d2d30f9e1fe56b5c3766f96,c14029ee50e9d307435901a06747518745139ef3febdc15799b28297d83e680a
s4,42,87598,70073,8769,8756,a79c80a6200955de3bc710e447ada4a687567b390c39cf68117dacd782411a1d,f0829585870ab8c203b9654da00ef273770a7f9f77598740618a7ad34a5d6d7e,1d2475b8fee983cdf80a9b933a6a8ebd4c323714f99df8f4aeee726588e56543
s4,43,87632,69874,8793,8965,fb560f348bc431f94cf9e81e57d0ce09f8aa67c7d6948ea709ee064ffb426b80,f37a9301baa17ff722aa6375131ff77eb49c93127dacf8cba3934012038bfe83,f35f3e11f6a232a589c5e08933abed7feab35507aaae97e9601c81eb7687e631
s4,44,88341,70361,9039,8941,fe5ecb2594874a75c175d572257d11bbba151dcd99a337de967a767afefcd787,30a5f199c439c43985fcd6049b2f7c11242814bdbafd4443eaf7a27d9199ef1b,8208730b94f8cf38101cde2617a9594376d9a93e17d0a96f160699c5da38226e
s4,45,88039,70370,8901,8768,640767ee972f01d4b5554ec1de345ab94548843226fbb7862722b2d39cad6583,9494a64d6a6530e383374bfec81b01f50f2d620aab955eb22a1b584d3772b2ae,b84570a48ead9ecdd11d830aadc2530ccb40658ea5cb25a8cb7f1f738e988108
s4,46,87728,70079,8830,8819,19e7157c6de51edf428e749c694672ab39e7324800786730e8e6dbe547765533,cdb6e4b84313c67f30692703f5842f292097cd9d68fa5ffd7c62d095969f4663,8985009d447b70e83729782e312b7c5cd337784ebafddfa4e34a5b548b59bcb8
s4,47,87774,70293,8677,8804,ffd4392576c5495fe905dea47ab72e7b1504ce2b727d174dbcd76b9f71210ed6,ee85136e57ac6cf65c880819d7ad63bd49d919e33bdd1f23ef93d54e9f00ae21,9f1355f07f2975631cf5be077b763375dd7b205169c366162c728b76c4521bd8
s4,48,87411,69984,8680,8747,96cccde8c4a5cb822a6c28f5901f523d3b14cd5ea6db418e3a369efc188c74b7,88d940aa0db209bf6c46c9d979ff3d14fd696b34009ed950079cbc8510765f97,2364b7fa52b31f1bb909accf902e461444413df181e8fb9635de87a285e3189d
s4,49,87543,69920,8824,8799,b1fd72e2d44b83168243d5b2385986c909f5e4f5debc24aec9e50a6d30ed5bec,aa1426d1a6f52436bd3ef56c679d0fdca36c17d01125dff9f3e870092f3eb7f4,2133956b17acafc3461c8cf323f6aca8ae683470ddb57e34478e594a270b57ce
s4,50,87621,70219,8801,8601,71d401355362bd5845d93891a86c40c28db378d54903db940997949d4221b711,ac947cfa81faa948988297a1a0a7357f71c4d056961121d4d1cef4772497627d,427ffba171c981ba247f02e6cb64ed1d4b92fe09cb308f794fd6ebc48e737be4
s4,51,87529,70130,8723,8676,d9aa401c4a9a254d25961365519f480e928469e6c00043ab0bfeeb608c1e6b6e,a987c55115de9c5b8f61cd40bf6796b7b12efad6141f1bfa7f565a07a5ec3743,bfdc3e348628ae2a9d038156d8bc8ce292421db38ef223b2c9897a49563d003d
s4,52,88111,70503,8704,8904,fe2402334715a5ac5e0c110e46511d3c479f4cd8e4f9a0dff9ccc92573b533c9,36a7c14e564f9d938a4ca32a6da49f34830f977dd3263bbb37c3cdf4c67a047e,4d888b39e5ab167ef80554f08fe6326e38d7c7d6945638c3bcaef31ddf494d62
s4,53,87392,69972,8665,8755,696dbf015e0468803d1bd8ad73a62ba9c4293cbb2631fe25be007e1c49375bf5,35ee4545036ae1396a7aa7e55fdb469d95d92610ea9a36c444d5ac9d4da6bf2c,3f789974dce665f5b382e1afda3bea04501d279153f743131a54f9796a219050
s4,54,87267,69935,8828,8504,bd886fc1e46dd92370db106ce73373e4295ebb6cdd816c6c6b9bf204e795823e,e72a4945fc4f36a5d427d456bd1ce27c4bca3b01161803a278dece1a944c990c,664c4b1b32d5e98cb7a81ad3833ba597c26dbea376b2cbed3ef47aea8f1da30b
s4,55,87427,70035,8707,8685,8c8468b834fd4c0487d201cb0ab9497a0c58a38e63478f615365447d0f708c10,7b4c83d16ac20275dc127b665f2a25eaa916b5ec9984fed1b86377bf14513f60,76c7e5a1e8cfe301ab189d5c51ae17dee2e92a6bc3d937aae15f5f13d5367981
s4,56,88212,70489,8965,8758,53de17b7d6877735efa6e7fe0e0311bb23b4d3c35d7eefd557d7ba6f21175ad1,5fa9087ba364fe413eeeb940939282fc690529f13d4a6747f69c16d5bb82b874,32f603ecedbcac007d4cd837b1b95c56a0befcc1378b49291b4392e0b2d0e2de
s4,57,87860,70362,8640,8858,7da4bfca36306d2e39808e60b8b2e476659bd55ab55e4380cff7ac0c37070881,d1232d77f3fcf8ff55498fedaf6ea52d7c906a329daa7bc14b493e6141c7d006,52c2606418d06be30f2b54d36dfc8eb5e42cbce8a0e56b79bc46c5e307c474ee
