dataset,run_id,candidate,total,inside,train_total,train_accepted,train_retention,validation_total,validation_accepted,validation_retention,test_total,test_accepted,test_retention,distance_p50,distance_p99
s2,605,baseline_3sigma,88122,78077,70853,60803,0.8581570293424414,8527,7316,0.8579805324264103,8742,7468,0.8542667581789064,0.5618268847465515,5.350907802581787
s2,606,baseline_3sigma,87475,77528,70210,60252,0.8581683520865974,8612,7369,0.8556665118439387,8653,7421,0.8576216341153358,0.5661566257476807,5.367218971252441
s2,607,baseline_3sigma,87855,77992,70339,60544,0.860745816687755,8729,7501,0.8593195096803757,8787,7515,0.8552406964834415,0.5731770992279053,5.249833106994629
s2,608,baseline_3sigma,87336,77480,69798,59996,0.8595661766812802,8774,7513,0.8562799179393663,8764,7473,0.8526928343222273,0.563935399055481,5.47194242477417
s2,609,baseline_3sigma,87749,77882,70255,60434,0.8602092377766707,8738,7459,0.8536278324559395,8756,7505,0.8571265417999087,0.5583730936050415,5.417335033416748
s2,610,baseline_3sigma,87974,77988,70375,60372,0.8578614564831261,8643,7469,0.8641675344209186,8956,7648,0.8539526574363555,0.5605644583702087,5.365107536315918
s2,611,baseline_3sigma,87482,77665,70065,60257,0.8600156997074145,8783,7527,0.8569964704542867,8634,7376,0.8542969654852907,0.5726628303527832,5.375565052032471
s2,612,baseline_3sigma,87616,77620,70155,60177,0.8577720761171691,8679,7439,0.8571263970503514,8782,7497,0.8536779776816215,0.5672940015792847,5.2560343742370605
s2,613,baseline_3sigma,87912,77994,70403,60491,0.8592105450051845,8626,7395,0.8572919081845584,8883,7666,0.8629967353371608,0.5577251315116882,5.316418170928955
s2,614,baseline_3sigma,88029,78187,70352,60568,0.8609279053900387,8892,7601,0.8548133153396311,8785,7506,0.8544109277177007,0.5625037550926208,5.334360122680664
s2,615,baseline_3sigma,87597,77741,69870,59980,0.8584514097609847,8783,7583,0.8633724240009109,8944,7681,0.8587880143112702,0.5683700442314148,5.402200222015381
s2,616,baseline_3sigma,88101,78131,70382,60451,0.8588985820238129,8814,7571,0.8589743589743589,8905,7628,0.8565974171813587,0.5620132684707642,5.370638847351074
s2,617,baseline_3sigma,87893,78041,70131,60316,0.8600476251586318,8881,7600,0.8557594865443081,8881,7625,0.8585744848553091,0.5687682628631592,5.2617387771606445
s2,618,baseline_3sigma,87951,77985,70285,60324,0.8582770150103152,8771,7524,0.8578269296545434,8895,7599,0.8543001686340641,0.5688067674636841,5.3248066902160645
s2,619,baseline_3sigma,88034,78308,70604,60712,0.8598946235340774,8632,7428,0.8605189990732159,8798,7595,0.8632643782677881,0.5787051320075989,5.3661346435546875
s2,620,baseline_3sigma,87418,77516,69981,60077,0.858475872022406,8720,7460,0.8555045871559633,8717,7434,0.8528163358953769,0.571674108505249,5.388211250305176
s2,621,baseline_3sigma,87702,77771,70402,60438,0.8584699298315389,8716,7493,0.8596833409821019,8584,7376,0.8592730661696178,0.5627940893173218,5.403268814086914
s2,622,baseline_3sigma,88138,78182,70575,60639,0.8592136025504782,8761,7532,0.8597192101358292,8802,7552,0.8579868211770052,0.5582484006881714,5.408222675323486
s2,623,baseline_3sigma,87894,77878,70281,60245,0.8572018041860532,8867,7671,0.865117852712304,8746,7565,0.8649668419849074,0.5650952458381653,5.315495491027832
s2,624,baseline_3sigma,87784,77828,70176,60218,0.8580996352029184,8869,7643,0.8617657007554403,8739,7437,0.8510127016821146,0.5629560947418213,5.176909446716309
s2,625,baseline_3sigma,87544,77731,69920,60087,0.8593678489702518,8736,7571,0.8666437728937729,8888,7637,0.8592484248424842,0.5588761568069458,5.3929290771484375
s2,626,baseline_3sigma,88036,78182,70412,60555,0.8600096574447538,8860,7583,0.8558690744920994,8764,7546,0.8610223642172524,0.5535469055175781,5.3735809326171875
s2,627,baseline_3sigma,88244,78234,70570,60621,0.8590194133484483,8958,7677,0.8569993302076356,8716,7448,0.8545204222120238,0.5645028352737427,5.230010509490967
s2,628,baseline_3sigma,88303,78314,70708,60590,0.8569044521129151,8733,7506,0.859498454139471,8862,7632,0.8612051455653351,0.5638816356658936,5.420316696166992
s2,629,baseline_3sigma,87744,77891,70342,60426,0.8590315885246368,8880,7618,0.8578828828828828,8522,7363,0.8639990612532269,0.5525917410850525,5.396225929260254
s2,630,baseline_3sigma,87826,77918,70248,60347,0.8590564855938959,8852,7598,0.8583370989606869,8726,7504,0.8599587439834976,0.5567126274108887,5.280882835388184
s2,631,baseline_3sigma,87861,77985,70369,60561,0.8606204436612713,8773,7520,0.8571754245981991,8719,7432,0.8523913292808808,0.5500881671905518,5.318446159362793
s2,632,baseline_3sigma,88123,78249,70604,60745,0.8603620191490567,8804,7517,0.8538164470695139,8715,7537,0.8648307515777395,0.5609762668609619,5.285227298736572
s2,633,baseline_3sigma,88114,78237,70338,60496,0.8600756347920043,8857,7637,0.8622558428361747,8919,7653,0.8580558358560376,0.560665488243103,5.285991191864014
s2,634,baseline_3sigma,87976,78125,70541,60761,0.861357224876313,8738,7509,0.8593499656672007,8697,7444,0.8559273312636542,0.5619484186172485,5.417089462280273
s2,635,baseline_3sigma,87893,78095,70361,60542,0.8604482596893165,8837,7596,0.8595677266040511,8695,7532,0.866244968372628,0.5497085452079773,5.298275470733643
s2,636,baseline_3sigma,87548,77526,69948,59974,0.8574083604963687,8690,7413,0.8530494821634063,8910,7675,0.8613916947250281,0.566371500492096,5.289891242980957
s2,637,baseline_3sigma,88079,77990,70401,60318,0.8567776025908723,8794,7502,0.8530816465772117,8884,7646,0.8606483565961278,0.5640959739685059,5.26964807510376
s2,638,baseline_3sigma,87658,77626,70159,60303,0.8595190923473823,8739,7500,0.8582217645039478,8760,7445,0.8498858447488584,0.5401710271835327,5.209194660186768
