dataset,run_id,candidate,total,inside,train_total,train_accepted,train_retention,validation_total,validation_accepted,validation_retention,test_total,test_accepted,test_retention,distance_p50,distance_p99
s4,269,median_mad,87368,66831,70036,49738,0.7101776229367753,8597,6144,0.7146679074095614,8735,6157,0.7048654836863194,1.1498383283615112,10.875248908996582
s4,270,median_mad,87677,67134,70257,49923,0.7105768820188736,8779,6225,0.7090784827429092,8641,6151,0.7118389075338503,1.1506097316741943,10.847010612487793
s4,271,median_mad,87811,67138,70370,49883,0.7088674150916584,8678,6148,0.7084581700852731,8763,6262,0.7145954581764236,1.1422020196914673,10.920428276062012
s4,272,median_mad,87512,66963,70161,49872,0.7108222516782828,8608,6046,0.7023698884758365,8743,6215,0.7108543978039574,1.1389670372009277,10.986610412597656
s4,273,median_mad,87215,66696,69812,49617,0.7107230848564716,8733,6190,0.7088056796060919,8670,6146,0.708881199538639,1.138580083847046,10.688674926757812
s4,274,median_mad,87640,67010,70111,49810,0.7104448659982029,8701,6121,0.703482358349615,8828,6249,0.707861350249207,1.1415467262268066,10.795551300048828
s4,275,median_mad,87729,67224,70186,49984,0.7121648191947112,8832,6270,0.7099184782608695,8711,6112,0.7016416025714614,1.1468982696533203,10.759727478027344
s4,276,median_mad,87522,67082,70154,49908,0.7114063346352311,8660,6176,0.7131639722863742,8708,6173,0.7088883785025264,1.1395585536956787,10.8136568069458
s4,277,median_mad,88158,67377,70418,49782,0.7069499275753358,8994,6455,0.7177006893484545,8746,6312,0.7217013491882003,1.1443424224853516,10.731297492980957
s4,278,median_mad,88374,67513,70575,50072,0.7094863620262133,8814,6193,0.7026321760835035,8985,6391,0.7112966054535337,1.1445850133895874,10.86841869354248
s4,279,median_mad,87693,67159,70406,50202,0.7130358208107264,8728,6200,0.7103574702108157,8559,6084,0.7108307045215563,1.1326297521591187,10.576115608215332
s4,280,median_mad,87704,67180,70236,49975,0.711529699869013,8818,6256,0.7094579269675664,8650,6105,0.7057803468208093,1.1358535289764404,10.851899147033691
s4,281,median_mad,87593,67073,70104,49856,0.7111719730685838,8644,6122,0.7082369273484498,8845,6268,0.7086489542114189,1.1446795463562012,10.729927062988281
s4,282,median_mad,87937,67167,70257,49735,0.7079009920719643,8861,6373,0.7192190497686491,8819,6282,0.7123256605057263,1.1456313133239746,10.906587600708008
s4,283,median_mad,87808,67170,70340,49997,0.7107904464031846,8733,6249,0.7155616626588801,8735,6265,0.7172295363480252,1.1396465301513672,10.842334747314453
s4,284,median_mad,87614,67167,70098,49976,0.7129447345145368,8718,6223,0.7138105069970176,8798,6201,0.7048192771084337,1.1443812847137451,10.717473983764648
s4,285,median_mad,88082,67534,70547,50388,0.7142472394290331,8830,6227,0.7052095130237825,8705,6180,0.7099368179207353,1.1364288330078125,10.844435691833496
s4,286,median_mad,87510,66989,69977,49852,0.7124055046658188,8744,6226,0.7120311070448307,8789,6249,0.7110023893503242,1.1480565071105957,11.043318748474121
s4,287,median_mad,87990,67338,70530,50232,0.7122075712462782,8774,6299,0.7179165716890814,8686,6138,0.7066543863688695,1.1397464275360107,11.088021278381348
s4,288,median_mad,87393,66944,69870,49804,0.7128095033633891,8678,6218,0.7165245448259968,8845,6243,0.7058224985867722,1.1432212591171265,11.096311569213867
s4,289,median_mad,88060,67521,70432,50216,0.7129713766469786,8801,6339,0.7202590614702875,8827,6260,0.7091877194969979,1.1373519897460938,11.22368335723877
s4,290,median_mad,88031,67395,70524,50271,0.7128211672622086,8775,6185,0.7048433048433048,8732,6202,0.7102611085661933,1.1449648141860962,11.165290832519531
s4,291,median_mad,87548,66897,69938,49801,0.7120735508593325,8703,6135,0.7049293347121682,8907,6304,0.7077579431907488,1.1411007642745972,10.88350772857666
s4,292,median_mad,87470,66950,69854,49785,0.7127007759040284,8864,6366,0.7181859205776173,8752,6167,0.7046389396709324,1.1384804248809814,11.028398513793945
s4,293,median_mad,87529,67178,70028,50053,0.7147569543611128,8770,6237,0.7111744583808438,8731,6284,0.7197342801511855,1.1359120607376099,10.973661422729492
s4,294,median_mad,88017,67195,70417,50047,0.7107232628484599,8847,6310,0.7132361252401944,8753,6176,0.7055866560036559,1.1298787593841553,10.817706108093262
s4,295,median_mad,87744,67358,70275,50245,0.7149768765563856,8678,6141,0.7076515326112007,8791,6226,0.7082243203276077,1.1293078660964966,10.904912948608398
s4,296,median_mad,87856,67292,70254,50050,0.7124149514618384,8881,6348,0.7147843711293773,8721,6224,0.7136796238963422,1.127447485923767,11.01156997680664
s4,297,median_mad,87232,66903,69830,49930,0.7150221967635687,8561,6080,0.7101974068449948,8841,6310,0.7137201674018776,1.1248639822006226,10.940807342529297
s4,298,median_mad,88070,67430,70442,50216,0.7128701626870333,8746,6199,0.7087811571003888,8882,6360,0.7160549425804998,1.117739200592041,10.957083702087402
s4,299,median_mad,87565,67323,70140,50201,0.7157256914741945,8768,6181,0.7049498175182481,8657,6192,0.7152593277116784,1.1226779222488403,10.817079544067383
s4,300,median_mad,88077,67565,70585,50435,0.714528582560034,8708,6210,0.7131373449701424,8784,6349,0.7227914389799636,1.120436668395996,10.739279747009277
s4,301,median_mad,88243,67653,70579,50403,0.7141359327845394,8784,6295,0.716643897996357,8880,6343,0.7143018018018018,1.1222213506698608,10.629914283752441
s4,302,median_mad,87683,67072,70297,50086,0.7124912869681495,8812,6303,0.7152746255106672,8574,6140,0.7161184977839982,1.116211175918579,11.088088035583496
s4,303,median_mad,87453,66830,70146,49932,0.7118296125224531,8732,6200,0.7100320659642694,8575,6036,0.7039067055393586,1.1089842319488525,11.211309432983398
s4,304,median_mad,87208,66886,69555,49654,0.7138811012867515,8691,6208,0.7143021516511333,8962,6405,0.7146842222718143,1.1041935682296753,10.870931625366211
s4,305,median_mad,87268,66884,69871,49835,0.7132429763421162,8816,6224,0.705989110707804,8581,6195,0.7219438293905139,1.1092784404754639,10.725099563598633
s4,306,median_mad,88382,67632,70795,50444,0.7125361960590437,8755,6248,0.7136493432324386,8832,6285,0.7116168478260869,1.1037063598632812,10.958173751831055
s4,307,median_mad,87925,67164,70211,49919,0.7109854581190982,8857,6302,0.7115276052839562,8857,6313,0.7127695607993677,1.1061091423034668,10.774380683898926
s4,308,median_mad,88036,67334,70461,50155,0.7118122081718965,8729,6218,0.7123381830679345,8846,6341,0.7168211621071671,1.1050442457199097,10.474266052246094
s4,309,median_mad,87342,66931,69991,49931,0.713391721792802,8739,6215,0.7111797688522714,8612,6169,0.7163260566651184,1.1075905561447144,10.885424613952637
s4,310,median_mad,87577,67182,70112,50122,0.7148847558192606,8684,6220,0.7162597881160755,8781,6277,0.7148388566222525,1.1137276887893677,10.7249116897583
s4,311,median_mad,87955,67236,70414,49842,0.7078421904734854,8709,6209,0.7129406361235503,8832,6301,0.7134284420289855,1.1062349081039429,11.467040061950684
s4,312,median_mad,87861,67221,70429,50101,0.7113688963353164,8658,6210,0.7172557172557172,8774,6331,0.7215637109642125,1.102268099784851,10.690169334411621
s4,313,median_mad,87852,67185,70316,50095,0.7124267592013197,8718,6206,0.7118605184675384,8818,6241,0.7077568609662055,1.1002233028411865,10.69532585144043
s4,314,median_mad,87980,67576,70555,50388,0.7141662532775849,8695,6283,0.7225991949396204,8730,6192,0.709278350515464,1.1017954349517822,10.871431350708008
s4,315,median_mad,87651,67085,70475,50191,0.7121816246896062,8623,6162,0.7146004870694653,8553,6124,0.7160060797381036,1.0996966361999512,11.133849143981934
s4,316,median_mad,87758,67036,70206,49856,0.7101387345810899,8719,6217,0.7130404862942998,8833,6314,0.7148194271481942,1.1026432514190674,10.769943237304688
