dataset,variant,epoch,initial_relaxation,relaxation,relaxation_decay,regularization_weight,training_rmse_mm,training_mae_mm,training_bias_mm,training_huber_objective,validation_rmse_mm,validation_mae_mm,validation_bias_mm,validation_abs_p99_mm,max_update,regularization_seconds,epoch_seconds,image_path,finite,image_min,image_max,water_core_mean_rsp,water_core_std_rsp,water_bias_vs_fixed_rsp,water_bias_vs_effective_rsp,phantom_rmse_vs_fixed_rsp,phantom_rmse_vs_effective_rsp,boundary_inner_rmse_vs_fixed_rsp,boundary_inner_rmse_vs_effective_rsp,outside_100_105_rmse_rsp,outside_100_105_mean_abs_rsp,outside_100_105_peak_abs_rsp,edge_r90_mm,edge_r10_mm,edge_10_90_width_mm,water_core_clearance_from_material_mm,phantom_rmse_vs_nominal_rsp,phantom_mae_vs_nominal_rsp,material_mape_non_air,material_max_ape_non_air,fmtf50_mean_lp_per_mm,fmtf10_mean_lp_per_mm,output_root
s4,r0p25_d0p2_quadratic_b0p0125_fixed_s18,5,0.25,0.1388888888888889,0.2,0.0125,2.6311141874145547,2.0315707297881227,0.0008782955193236623,3.461380933607076,2.6286440270087366,2.032109498977661,-0.0013158489018678665,7.2139739990234375,0.15267111361026764,0.5033330639998894,688.1188605310017,data/reconstruction_data/results0717_s4_material_calibration_air_pilot/stage4/variants/r0p25_d0p2_quadratic_b0p0125_fixed_s18/recon/epoch_05.mhd,True,0.0,2.160238742828369,1.0138524770736694,0.012404147535562515,,,,,,,,,,,,,2.0,0.04119915823642301,0.02075398713350296,0.012034895005994119,0.017227575182914734,,,
s4,r0p25_d0p2_quadratic_b0p0125_fixed_s18,6,0.25,0.125,0.2,0.0125,2.6302702211012976,2.0306587201697135,0.0008062157945140896,3.4591607180061343,2.6275105542221,2.031032085418701,-0.0015123247867450118,7.212366580963135,0.1351887285709381,0.5016357789936592,688.3616390799943,data/reconstruction_data/results0717_s4_material_calibration_air_pilot/stage4/variants/r0p25_d0p2_quadratic_b0p0125_fixed_s18/recon/epoch_06.mhd,True,0.0,2.1508729457855225,1.0138626098632812,0.010407369583845139,,,,,,,,,,,,,2.0,0.04043024758711258,0.020053772255778313,0.012112420464221101,0.01667143777012825,,,
s5,r0p25_d0p2_quadratic_b0p0125_fixed_s18,1,0.25,0.25,0.2,0.0125,2.5760873668913775,2.0119095938553806,0.07898744686295517,3.3181130609286758,2.56957442270165,2.007357120513916,0.004133695736527443,6.919147968292236,0.43290627002716064,0.5041773449993343,690.3822666369961,data/reconstruction_data/results0717_s5_resolution_air_pilot/stage4/variants/r0p25_d0p2_quadratic_b0p0125_fixed_s18/recon/epoch_01.mhd,True,0.0,2.1564385890960693,1.0143284797668457,0.020682383328676224,,,,,,,,,,,,,2.0,0.05464603876782882,0.027759170159697533,,,0.48792503460651016,1.084122594775324,
s5,r0p25_d0p2_quadratic_b0p0125_fixed_s18,2,0.25,0.20833333333333334,0.2,0.0125,2.564955824778332,2.0015474505360347,0.0017044591019358883,3.289499191532147,2.5646283783463355,2.0022201538085938,0.0019185033161193132,6.915435791015625,0.3464241325855255,0.5031657059953432,687.6487369349998,data/reconstruction_data/results0717_s5_resolution_air_pilot/stage4/variants/r0p25_d0p2_quadratic_b0p0125_fixed_s18/recon/epoch_02.mhd,True,0.0,2.1466078758239746,1.0139936208724976,0.01635856367647648,,,,,,,,,,,,,2.0,0.05234362576778534,0.025053218007087708,,,0.48631624822131536,1.1027504762369484,
s5,r0p25_d0p2_quadratic_b0p0125_fixed_s18,3,0.25,0.17857142857142858,0.2,0.0125,2.562032858715318,1.9983218923764343,0.0010518134468409457,3.282006184568492,2.561988606492251,1.9994995594024658,0.0017049411544576287,6.911610126495361,0.2890387177467346,0.502726103994064,687.8363866469954,data/reconstruction_data/results0717_s5_resolution_air_pilot/stage4/variants/r0p25_d0p2_quadratic_b0p0125_fixed_s18/recon/epoch_03.mhd,True,0.0,2.1383109092712402,1.013905644416809,0.012849560007452965,,,,,,,,,,,,,2.0,0.050916938778914095,0.023298541083931923,,,0.48645537757111174,1.1094466821375444,
s5,r0p25_d0p2_quadratic_b0p0125_fixed_s18,4,0.25,0.15625,0.2,0.0125,2.5606235895624403,1.9966781689350614,0.0009573869407829926,3.2783965837118187,2.560343919849417,1.9977977275848389,0.0015280665829777718,6.908405780792236,0.24775291979312897,0.5022928620019229,688.1673558539987,data/reconstruction_data/results0717_s5_resolution_air_pilot/stage4/variants/r0p25_d0p2_quadratic_b0p0125_fixed_s18/recon/epoch_04.mhd,True,0.0,2.1306185722351074,1.013885259628296,0.010084519162774086,,,,,,,,,,,,,2.0,0.05004536987734832,0.02227361500263214,,,0.48847801584739675,1.1094546657653157,
s5,r0p25_d0p2_quadratic_b0p0125_fixed_s18,5,0.25,0.1388888888888889,0.2,0.0125,2.559892810619674,1.9957486486143385,0.0008853141955356183,3.276525600931148,2.5592857883702274,1.9966822862625122,0.00133220455609262,6.907318115234375,0.21658629179000854,0.5037029969971627,687.5021075460027,data/reconstruction_data/results0717_s5_resolution_air_pilot/stage4/variants/r0p25_d0p2_quadratic_b0p0125_fixed_s18/recon/epoch_05.mhd,True,0.0,2.1232926845550537,1.0138853788375854,0.008003921248018742,,,,,,,,,,,,,2.0,0.049538789354853535,0.02171529084444046,,,0.4919548179452248,1.1167182511817153,
s5,r0p25_d0p2_quadratic_b0p0125_fixed_s18,6,0.25,0.125,0.2,0.0125,2.559510410059075,1.9951944069943006,0.0008078737520438445,3.275546769600387,2.5586042475296504,1.9959421157836914,0.0011370754800736904,6.9063873291015625,0.19224786758422852,0.5053945710023982,688.2944215960015,data/reconstruction_data/results0717_s5_resolution_air_pilot/stage4/variants/r0p25_d0p2_quadratic_b0p0125_fixed_s18/recon/epoch_06.mhd,True,0.0,2.116407871246338,1.0138921737670898,0.006508626043796539,,,,,,,,,,,,,2.0,0.04926766388246282,0.021404797211289406,,,0.4962234721687827,1.1231756659948626,
s2,r0p25_d0p2_quadratic_b0_fixed_s18,1,0.25,0.25,0.2,0.0,2.4600093455007133,1.9375937773619285,0.07436658258730229,3.0258229899754236,2.455550478798965,1.9344760179519653,0.002859401283785701,6.4529194831848145,0.21027997136116028,0.0,805.5786432910099,data/reconstruction_data/results0717_s2_water_vacuum_pilot/stage4/variants/r0p25_d0p2_quadratic_b0_fixed_s18/recon/epoch_01.mhd,True,0.0,1.1399211883544922,1.014298439025879,0.018029164522886276,0.014298439025878906,0.0007807016372680664,0.027330009964433643,0.02329904973845798,0.036027528427015974,0.03288718712466584,0.0,0.0,0.0,99.7464587459354,100.0945146671992,0.348055921263807,,,,,,,,
s2,r0p25_d0p2_quadratic_b0_fixed_s18,2,0.25,0.20833333333333334,0.2,0.0,2.450507442956547,1.9285134351531066,0.0015479319809658131,3.0024933639927176,2.4525012201984913,1.9307427406311035,0.0008981997962109745,6.454907417297363,0.16651307046413422,0.0,805.5257752960024,data/reconstruction_data/results0717_s2_water_vacuum_pilot/stage4/variants/r0p25_d0p2_quadratic_b0_fixed_s18/recon/epoch_02.mhd,True,0.0,1.1480052471160889,1.0139740705490112,0.01796313188970089,0.01397407054901123,0.0004563331604003906,0.026369684779249024,0.022162426272493412,0.03279619303638202,0.02865730029051407,0.0,0.0,0.0,99.80496358962702,100.09605903622226,0.2910954465952358,,,,,,,,
s2,r0p25_d0p2_quadratic_b0_fixed_s18,3,0.25,0.17857142857142858,0.2,0.0,2.448186236338314,1.9256617326628893,0.000897631564684175,2.9968079238981793,2.4511922521825005,1.9289802312850952,0.0008019904489628971,6.456021308898926,0.1378336399793625,0.0,805.4704390539991,data/reconstruction_data/results0717_s2_water_vacuum_pilot/stage4/variants/r0p25_d0p2_quadratic_b0_fixed_s18/recon/epoch_03.mhd,True,0.0,1.1520167589187622,1.0138899087905884,0.01791401207447052,0.013889908790588379,0.00037217140197753906,0.02593471001313656,0.021642290156300863,0.031197097197698097,0.026627813911501513,0.0,0.0,0.0,99.859569060331,100.09701278452434,0.2374437241933407,,,,,,,,
s2,r0p25_d0p2_quadratic_b0_fixed_s18,4,0.25,0.15625,0.2,0.0,2.446960915374745,1.924080439790669,0.0007836847538653722,2.993808860685805,2.450455621624028,1.9279134273529053,0.0007604299462400377,6.456486225128174,0.11749015748500824,0.0,805.6186824009928,data/reconstruction_data/results0717_s2_water_vacuum_pilot/stage4/variants/r0p25_d0p2_quadratic_b0_fixed_s18/recon/epoch_04.mhd,True,0.0,1.1536566019058228,1.013870120048523,0.01787605881690979,0.01387012004852295,0.0003523826599121094,0.02573513040994318,0.02140121255054245,0.030447819418706955,0.02569504374704976,0.0,0.0,0.0,99.87900574237945,100.09766730470882,0.21866156232937328,,,,,,,,
s2,r0p25_d0p2_quadratic_b0_fixed_s18,5,0.25,0.1388888888888889,0.2,0.0,2.4461699391853635,1.9230342710714856,0.0007096957009021512,2.9918736856870622,2.4499835302695545,1.9271883964538574,0.0007352491957135499,6.456921577453613,0.1022992730140686,0.0,805.850991172003,data/reconstruction_data/results0717_s2_water_vacuum_pilot/stage4/variants/r0p25_d0p2_quadratic_b0_fixed_s18/recon/epoch_05.mhd,True,0.0,1.154157280921936,1.013869047164917,0.017845747992396355,0.013869047164916992,0.00035130977630615234,0.025654196583877898,0.021302346917811375,0.0301646338135601,0.02534987545193358,0.0,0.0,0.0,99.88332776004314,100.09814752889368,0.214819768850532,,,,,,,,
s2,r0p25_d0p2_quadratic_b0_fixed_s18,6,0.25,0.125,0.2,0.0,2.44560272754644,1.9222772513476785,0.0006548821122903721,2.9904863504912935,2.449655582759883,1.9266622066497803,0.0007190999458543956,6.4569091796875,0.0905255675315857,0.0,804.9384349059983,data/reconstruction_data/results0717_s2_water_vacuum_pilot/stage4/variants/r0p25_d0p2_quadratic_b0_fixed_s18/recon/epoch_06.mhd,True,0.0,1.1540720462799072,1.0138733386993408,0.0178210586309433,0.01387333869934082,0.00035560131072998047,0.025637501871684704,0.021280949782615913,0.030143718206230765,0.02532898764273837,0.0,0.0,0.0,99.88664964141915,100.09851662682435,0.21186698540519444,,,,,,,,
s4,r0p25_d0p2_quadratic_b0_fixed_s18,1,0.25,0.25,0.2,0.0,2.6497600128697614,2.049899480479196,0.07547203640786718,3.5106140629017792,2.644355494215382,2.0469918251037598,-5.1822891691699624e-05,7.2451066970825195,0.30831077694892883,0.0,687.412241139,data/reconstruction_data/results0717_s4_material_calibration_air_pilot/stage4/variants/r0p25_d0p2_quadratic_b0_fixed_s18/recon/epoch_01.mhd,True,0.0,2.2390410900115967,1.0142579078674316,0.031430311501026154,,,,,,,,,,,,,2.0,0.05241570896808564,0.03260769695043564,0.012481451159916244,0.024138513952493668,,,
s4,r0p25_d0p2_quadratic_b0_fixed_s18,2,0.25,0.20833333333333334,0.2,0.0,2.639953591111835,2.0403386627053863,0.0008607757169472208,3.484677481612137,2.641102992232798,2.0431017875671387,-0.0020177147816866636,7.24694299697876,0.2476429045200348,0.0,687.9982574080001,data/reconstruction_data/results0717_s4_material_calibration_air_pilot/stage4/variants/r0p25_d0p2_quadratic_b0_fixed_s18/recon/epoch_02.mhd,True,0.0,2.237855911254883,1.0139249563217163,0.031222332268953323,,,,,,,,,,,,,2.0,0.0514472750680211,0.03214823827147484,0.012056601520341177,0.021221939474344254,,,
s4,r0p25_d0p2_quadratic_b0_fixed_s18,3,0.25,0.17857142857142858,0.2,0.0,2.637369987355427,2.0373328575883334,0.00031127279473918963,3.4778602251015815,2.6396120508515666,2.041262149810791,-0.0020867835264652967,7.247075080871582,0.20719899237155914,0.0,687.7165327149999,data/reconstruction_data/results0717_s4_material_calibration_air_pilot/stage4/variants/r0p25_d0p2_quadratic_b0_fixed_s18/recon/epoch_03.mhd,True,0.0,2.2370364665985107,1.0138436555862427,0.031051669269800186,,,,,,,,,,,,,2.0,0.05086194370493758,0.031824495643377304,0.011945198415420376,0.019743800163269043,,,
