insert_id,truth_x_mm,truth_z_mm,roi_mean_r2,roi_recovery_vs_red,roi_recovery_vs_rsp,peak_r4,local_water_mean,local_water_std,contrast,cnr,roi_cnr,contrast_centroid_offset_mm,contrast_centroid_x_mm,contrast_centroid_z_mm,peak_offset_mm,peak_x_mm,peak_z_mm
10,31.4078221678781,26.354291997148113,2.047321081161499,0.7688365353488729,0.9229312626355818,2.111525774002075,1.0145831108093262,0.009980399161577225,1.096942663192749,109.90969854349962,103.47661988590914,0.01153819642612048,31.398465243960008,26.347540852685224,0.4835523318114649,31.85000000000001,26.549999999999997
11,-44.9931462820376,0.7853582896778359,2.053830146789551,0.774271493963785,0.9294555275296231,2.1202073097229004,1.0137916803359985,0.010336989536881447,1.1064156293869019,107.03460861978341,100.61328423936087,0.0118536592457968,-44.98137822287152,0.7839363118372549,0.6541952771137545,-44.45,1.1500000000000057
12,36.41409644839232,-32.78739971158405,2.063883066177368,0.7816849795028307,0.9383548673170816,2.1247756481170654,1.0138864517211914,0.009767050854861736,1.110889196395874,113.73844704032719,107.50395693225258,0.013782678201292586,36.40540333866166,-32.77670428912344,0.8542965192355038,35.750000000000014,-32.25
13,-6.459075200472726,52.60494603699008,2.0696136951446533,0.7860363365323985,0.9435783488412198,2.1267035007476807,1.0137721300125122,0.009340588003396988,1.1129313707351685,119.1500332024512,113.03801909988454,0.010951858766463497,-6.4592306459760485,52.593995281439156,0.8239767616880315,-5.849999999999994,52.05
14,-31.87399549783273,-47.255141635637266,2.073990821838379,0.7892579435061566,0.9474456491778994,2.1200926303863525,1.0138218402862549,0.009915213100612164,1.1062707901000977,111.57307249723122,106.92346909686383,0.017739293092379857,-31.868674631879653,-47.23821913863101,0.5599301216385578,-32.349999999999994,-47.55
15,58.921475403633195,15.787961751253667,2.0800745487213135,0.7938206960292782,0.9529228953201464,2.1208066940307617,1.0137766599655151,0.009985139593482018,1.1070300340652466,110.86775740099624,106.78848089934003,0.01696677729634204,58.90493171478882,15.784196397187412,0.09464395190417602,58.85000000000001,15.850000000000009
16,-58.421613009445856,28.494124541290027,2.088325262069702,0.7998977396130657,0.9602179356180576,2.1363956928253174,1.0138643980026245,0.009666921570897102,1.1225312948226929,116.12086501271993,111.14819295749871,0.013610121195259213,-58.408037942670575,28.493148344078246,0.7735708360377311,-58.85,27.85000000000001
17,26.960447865760006,-63.51483488821833,2.0945093631744385,0.8044785077890801,0.965716808216004,2.135432004928589,1.0138953924179077,0.009191219694912434,1.1215366125106812,122.0226095924439,117.57024710819144,0.013877230308071793,26.95434972637054,-63.502369326979064,0.6980509706802007,27.250000000000014,-64.15
18,22.558240589371405,69.42712568954613,2.102201461791992,0.8103386535616816,0.9727514787714054,2.132411241531372,1.0137158632278442,0.009720024652779102,1.1186953783035278,115.0918252026939,111.98383105468086,0.0131186016294101,22.55171388359597,69.41574589075915,1.1644135768760502,22.25,70.55
19,-66.00188215406271,-39.65793176807406,2.1048996448516846,0.811945862792688,0.9746808143020319,2.1428427696228027,1.014255166053772,0.009768124669790268,1.1285876035690308,115.53779683621326,111.6534151300231,0.010723719644659591,-65.9936175222357,-39.65109846552104,0.45195176081650634,-65.55,-39.650000000000006
20,79.76942799398886,-14.065502391021353,2.1115827560424805,0.8171039305848095,0.9808726922907417,2.1475131511688232,1.014009714126587,0.009315180592238903,1.1335034370422363,121.68346344102373,117.82627626461206,0.013578528115407754,79.75649714239249,-14.06135878114907,1.349751503364976,78.45,-14.349999999999994
21,-53.49223323923631,66.05740672384242,2.1127898693084717,0.8185459815397859,0.9826037675550789,2.139533758163452,1.0132797956466675,0.00960998609662056,1.1262539625167847,117.19621144018535,114.41328453622394,0.009276205389247906,-53.485936904698534,66.05059466410898,0.8217695828401094,-54.15,66.55
22,-3.1060552065228944,-88.94578360469951,2.114333391189575,0.8197968713305663,0.98410536801362,2.134938955307007,1.0131430625915527,0.009925606660544872,1.121795892715454,113.02038566314418,110.94438519061484,0.009886683820435865,-3.1055221924688152,-88.93591129934649,1.53099313753776,-2.1499999999999915,-87.75
23,63.42584748581247,68.01589425058275,2.116961717605591,0.821193750032722,0.9857822173373119,2.1432979106903076,1.013895034790039,0.00999621395021677,1.1294028759002686,112.98306354034942,110.34844675284602,0.007101138369425081,63.419439557794746,68.01283408315899,0.8140551814863257,63.15000000000002,67.25000000000001
24,-96.46862385072251,-10.139260936962396,2.1187007427215576,0.8227665254049967,0.9876702175733009,2.148346424102783,1.013521432876587,0.010263215750455856,1.1348249912261963,110.57206813330328,107.68353084615633,0.014144094574574228,-96.45451920856829,-10.140316626801232,1.9483926226070227,-98.25,-9.349999999999994
