run,depth_mm,count,water_rms_mm,inhomogeneous_rms_mm
21,-50.25,2716,0.2240109901625662,0.22222357823690475
21,-49.75,2723,0.2269426953767481,0.2251521112057068
21,-49.25,2733,0.2297497537309885,0.22795769806252605
21,-48.75,2744,0.23253460079711963,0.23074150974576352
21,-48.25,2753,0.23541226761359596,0.23361733837814547
21,-47.75,2761,0.23835641792803078,0.2365615358897117
21,-47.25,2767,0.24138691314026336,0.23959118815101507
21,-46.75,2771,0.24450999452043887,0.2427131916685735
21,-46.25,2772,0.24776811769992682,0.24596997399300055
21,-45.75,2776,0.2508403480451736,0.24904026919051075
21,-45.25,2785,0.253646626630651,0.2518465224142232
21,-44.75,2793,0.2564712330591031,0.2546696705990979
21,-44.25,2802,0.2592485594221848,0.2574457106812539
21,-43.75,2811,0.2620150237425843,0.26021015756155125
21,-43.25,2813,0.26510474792651073,0.2632935323257417
21,-42.75,2821,0.26789348850567957,0.2660775315397466
21,-42.25,2828,0.2707413909790309,0.26892026347344206
21,-41.75,2835,0.273588622452371,0.2717617277189499
21,-41.25,2843,0.2763728679623137,0.27454118903997443
21,-40.75,2852,0.2790146417641317,0.2771744765901639
21,-40.25,2860,0.2816648178797107,0.2798154741648798
21,-39.75,2868,0.284315760934095,0.28245951557881616
21,-39.25,2873,0.28710265113288896,0.28523996824358966
21,-38.75,2878,0.28987524453962205,0.2880062815108473
21,-38.25,2881,0.2927407383259636,0.29086563232913837
21,-37.75,2884,0.29560034462809615,0.29371929604757396
21,-37.25,2894,0.2980767412861249,0.29619144853428536
21,-36.75,2896,0.30095111385025564,0.2990578139988179
21,-36.25,2905,0.3034455072975437,0.3015467455014728
21,-35.75,2911,0.3060618724099674,0.304155029507335
21,-35.25,2916,0.3087158752308074,0.30680016891419293
21,-34.75,2924,0.31119098920525834,0.30926462739844834
21,-34.25,2930,0.31376251222423146,0.31182341589582624
21,-33.75,2935,0.31637273543510336,0.31441797616120937
21,-33.25,2940,0.3189612457747414,0.3169897213321706
21,-32.75,2944,0.32157441066872383,0.31958477696134907
21,-32.25,2951,0.32399171787330494,0.32198394863729335
21,-31.75,2955,0.32654000120750115,0.32451345196176645
21,-31.25,2960,0.32891995466715035,0.3268790583794992
21,-30.75,2963,0.33132246494932915,0.32926929637092445
21,-30.25,2968,0.33355990266613794,0.3314980185328418
21,-29.75,2970,0.33586192511590307,0.33380487253872376
21,-29.25,2972,0.33810437899660445,0.33605934768580015
21,-28.75,2976,0.34019649822697634,0.33816963192394567
21,-28.25,2980,0.3422307577434002,0.3402235528169033
21,-27.75,2984,0.34418630926205923,0.34220041152526925
21,-27.25,2987,0.3461577684276116,0.3441957300923285
21,-26.75,2988,0.348197489566068,0.3462622942890592
21,-26.25,2991,0.3501059575607027,0.34820013770346453
21,-25.75,2995,0.3519110578565696,0.35003766466969305
21,-25.25,3001,0.35358790795337897,0.3517480762346743
21,-24.75,3002,0.35552421538961393,0.35371957652203
21,-24.25,3004,0.35737304170409917,0.35560543133206335
21,-23.75,3008,0.35909195293476126,0.35736198627178617
21,-23.25,3011,0.3608645721143444,0.35917210658353393
21,-22.75,3015,0.36254838603181827,0.3608922525652963
21,-22.25,3019,0.3641908475994844,0.362570115888876
21,-21.75,3021,0.36588319965629096,0.36429552672262056
21,-21.25,3028,0.36722540552575583,0.36567334469397533
21,-20.75,3031,0.3687666566040824,0.36724917577845956
21,-20.25,3032,0.370395250146519,0.3689119139442221
21,-19.75,3032,0.3720566096652673,0.3706070016463935
21,-19.25,3033,0.3736163513278637,0.3722010761519579
21,-18.75,3033,0.37520760486910065,0.37382847041406336
21,-18.25,3033,0.37677063943489403,0.37543163553362935
21,-17.75,3033,0.37830604651272826,0.3770143613733142
21,-17.25,3033,0.3798174048003999,0.3785744293366882
21,-16.75,3033,0.3813028479948324,0.3801098988467302
21,-16.25,3033,0.3827559304795098,0.3816094273461119
21,-15.75,3033,0.3841685329417815,0.38306567001691455
21,-15.25,3033,0.38554471929245887,0.3844824226114129
21,-14.75,3033,0.3868957880309739,0.38587196876478846
21,-14.25,3033,0.3882289019978104,0.387242388497872
21,-13.75,3033,0.38952892481760176,0.3885779627936854
21,-13.25,3033,0.39079428379170195,0.38987720343929033
21,-12.75,3033,0.3920280085438043,0.3911440120800388
21,-12.25,3033,0.39323576137142224,0.3923825270184929
