run_id,status,rows,wepl_min_mm,wepl_max_mm,wepl_mean_mm
209,written,51919,0.0,224.00279235839844,134.83349609375
210,written,51977,0.0,222.46424865722656,135.55787658691406
211,written,51963,0.0,220.31857299804688,134.8286590576172
212,written,52061,0.0,222.93821716308594,134.7607879638672
213,written,51982,0.0,221.32801818847656,134.92164611816406
214,written,51890,0.0,221.4952850341797,135.48526000976562
215,written,51698,0.0,219.85670471191406,135.2040557861328
216,written,51774,0.0,223.42910766601562,134.89781188964844
217,written,51824,0.0,224.0635528564453,135.6953125
218,written,51637,0.0,221.0310821533203,135.62391662597656
219,written,51627,0.0,222.464599609375,135.30345153808594
220,written,51864,0.0,217.32334899902344,135.41458129882812
221,written,51588,0.0,215.26480102539062,135.39610290527344
222,written,51957,0.0,225.0345916748047,135.1593017578125
223,written,51968,0.0,223.2515106201172,135.31813049316406
224,written,51804,0.0,216.2333526611328,135.36207580566406
225,written,51874,0.0,216.60279846191406,135.06716918945312
226,written,51564,0.0,218.09124755859375,135.14234924316406
227,written,51578,0.0,220.97232055664062,135.14694213867188
228,written,51898,0.0,217.05496215820312,135.5452423095703
229,written,52025,0.0,217.1261444091797,135.70806884765625
230,written,51778,0.0,216.11541748046875,135.2800750732422
231,written,51711,0.0,218.08619689941406,135.36688232421875
232,written,51838,0.0,216.91212463378906,134.9720916748047
233,written,51760,0.0,224.44384765625,135.30003356933594
234,written,51665,0.0,221.00033569335938,135.56541442871094
235,written,51765,0.0,219.1051483154297,135.16787719726562
236,written,51856,0.0,221.28582763671875,135.40696716308594
237,written,51970,0.0,215.19398498535156,135.2731475830078
238,written,51732,0.0,224.2418975830078,135.41342163085938
239,written,51512,0.0,213.8159942626953,135.2100372314453
240,written,51669,0.0,216.56907653808594,135.17922973632812
241,written,51560,0.0,218.45703125,135.26235961914062
242,written,51676,0.0,218.43963623046875,134.93341064453125
243,written,51578,0.0,217.12864685058594,135.2007598876953
244,written,51703,0.0,217.07339477539062,134.8607940673828
245,written,51520,0.0,218.03085327148438,135.0293731689453
246,written,52143,0.0,213.34774780273438,134.9715576171875
247,written,51896,0.0,217.65501403808594,135.2224884033203
248,written,51631,0.0,216.59133911132812,135.3505401611328
249,written,51715,0.0,217.9917449951172,135.54293823242188
250,written,52089,0.0,215.65042114257812,135.09120178222656
251,written,51831,0.0,222.13087463378906,134.73036193847656
252,written,51814,0.0,221.53428649902344,134.58509826660156
253,written,51770,0.0,217.03359985351562,135.0814971923828
254,written,51600,0.0,221.5921630859375,134.8955078125
255,written,51261,0.0,217.0318603515625,135.46185302734375
256,written,51351,0.0,216.9138641357422,135.05300903320312
257,written,51374,0.0,216.8440704345703,134.9295196533203
258,written,51543,0.0,219.80154418945312,134.70977783203125
259,written,51502,0.0,221.3373565673828,135.18296813964844
260,written,51620,0.0,218.46270751953125,135.43417358398438
261,written,52012,0.0,222.33714294433594,134.98941040039062
262,written,51803,0.0,226.44541931152344,134.47137451171875
263,written,52160,0.0,225.93907165527344,135.33706665039062
264,written,51801,0.0,221.37489318847656,134.55996704101562
265,written,51594,0.0,220.19644165039062,134.97134399414062
266,written,51980,0.0,222.65309143066406,134.27552795410156
267,written,51847,0.0,226.08010864257812,134.9905242919922
268,written,51649,0.0,222.75546264648438,135.0728302001953
269,written,51547,0.0,223.3331298828125,135.17236328125
270,written,51750,0.0,225.69859313964844,135.39219665527344
271,written,51815,0.0,226.47132873535156,134.76876831054688
272,written,51697,0.0,228.59596252441406,135.07009887695312
273,written,51273,0.0,227.55108642578125,134.81124877929688
274,written,51567,0.0,223.00572204589844,135.01841735839844
275,written,51696,0.0,224.0860137939453,135.3214569091797
276,written,51784,0.0,221.46180725097656,134.93421936035156
277,written,51785,0.0,222.27615356445312,134.5579071044922
278,written,51825,0.0,227.58349609375,134.83946228027344
279,written,51926,0.0,228.16659545898438,134.17845153808594
280,written,51738,0.0,224.4810791015625,134.63877868652344
281,written,51677,0.0,221.4048614501953,134.9481658935547
282,written,51686,0.0,229.24697875976562,134.706298828125
283,written,51737,0.0,223.06658935546875,134.81544494628906
284,written,51768,0.0,223.87796020507812,134.67674255371094
285,written,52040,0.0,228.34486389160156,134.55349731445312
286,written,51520,0.0,222.724853515625,135.0150604248047
287,written,52012,0.0,223.23947143554688,134.570068359375
288,written,51460,0.0,228.92918395996094,134.36219787597656
289,written,51903,0.0,226.63853454589844,135.2095489501953
290,written,51965,0.0,226.7041778564453,134.94943237304688
291,written,51467,0.0,221.15081787109375,134.9696807861328
292,written,51439,0.0,225.8137664794922,134.89706420898438
293,written,51826,0.0,222.16561889648438,134.8981475830078
294,written,51802,0.0,221.322021484375,134.07681274414062
295,written,51979,0.0,219.78057861328125,134.81988525390625
296,written,51779,0.0,218.66534423828125,134.60321044921875
297,written,51422,0.0,219.85638427734375,135.08689880371094
298,written,51859,0.0,218.6062774658203,134.78854370117188
299,written,51784,0.0,219.66600036621094,135.0070343017578
300,written,52061,0.0,217.0137481689453,135.07830810546875
301,written,52056,0.0,219.6576690673828,134.70762634277344
302,written,51729,0.0,222.63804626464844,135.41696166992188
303,written,51570,0.0,219.05308532714844,135.12969970703125
304,written,51322,0.0,221.44845581054688,134.4607391357422
305,written,51670,0.0,221.82603454589844,134.54428100585938
306,written,52095,0.0,220.79551696777344,134.3758544921875
307,written,51699,0.0,221.30384826660156,134.91200256347656
308,written,51771,0.0,217.783935546875,134.95787048339844
309,written,51636,0.0,220.43605041503906,135.03724670410156
310,written,51974,0.0,221.3959197998047,134.3009796142578
311,written,51775,0.0,219.67910766601562,134.45968627929688
312,written,51939,0.0,226.01512145996094,134.98272705078125
313,written,51827,0.0,219.6312713623047,134.22584533691406
314,written,52139,0.0,218.91505432128906,134.66506958007812
315,written,51960,0.0,221.32501220703125,133.9949188232422
316,written,51655,0.0,218.88626098632812,134.48886108398438
317,written,52218,0.0,220.6738739013672,134.74012756347656
318,written,51874,0.0,221.6449737548828,134.16908264160156
319,written,51818,0.0,219.9128875732422,134.89862060546875
320,written,51939,0.0,223.03799438476562,135.23904418945312
321,written,51691,0.0,222.28370666503906,134.55433654785156
322,written,52111,0.0,224.41879272460938,134.96591186523438
323,written,51790,0.0,222.05020141601562,134.8651123046875
324,written,51649,0.0,224.64596557617188,134.88571166992188
325,written,51617,0.0,223.67767333984375,134.9811553955078
326,written,51662,0.0,222.24520874023438,134.23475646972656
327,written,51419,0.0,222.46444702148438,134.89959716796875
328,written,51828,0.0,226.01791381835938,134.2791748046875
329,written,51862,0.0,226.97354125976562,134.1876678466797
330,written,51900,0.0,225.59844970703125,134.47988891601562
331,written,51652,0.0,225.83973693847656,134.74703979492188
332,written,51980,0.0,226.16162109375,134.90936279296875
333,written,51590,0.0,224.28228759765625,134.28416442871094
334,written,51358,0.0,225.9572296142578,135.07691955566406
335,written,52092,0.0,226.39627075195312,134.41619873046875
336,written,51738,0.0,227.259033203125,134.76893615722656
337,written,51519,0.0,234.0674591064453,134.5751495361328
