run_id,seed,fraction,parent,selected,status
399,20260730,0.2,60437,48426,written
400,20260730,0.2,59755,47809,written
402,20260730,0.2,60161,48153,written
401,20260730,0.2,60220,48286,written
404,20260730,0.2,59562,47642,written
403,20260730,0.2,59700,47728,written
406,20260730,0.2,59671,47710,written
405,20260730,0.2,59974,47885,written
408,20260730,0.2,59841,47621,written
407,20260730,0.2,60421,48197,written
409,20260730,0.2,59810,48012,written
410,20260730,0.2,59981,48090,written
411,20260730,0.2,60155,48150,written
412,20260730,0.2,60189,48212,written
413,20260730,0.2,60547,48465,written
414,20260730,0.2,60218,48327,written
415,20260730,0.2,60050,48065,written
416,20260730,0.2,60337,48337,written
417,20260730,0.2,59896,48000,written
418,20260730,0.2,60624,48443,written
419,20260730,0.2,60443,48266,written
420,20260730,0.2,59999,48098,written
421,20260730,0.2,60614,48505,written
422,20260730,0.2,60112,48012,written
423,20260730,0.2,60675,48664,written
424,20260730,0.2,60229,48230,written
425,20260730,0.2,60541,48465,written
426,20260730,0.2,60144,48174,written
427,20260730,0.2,60223,48241,written
428,20260730,0.2,60361,48437,written
429,20260730,0.2,59949,47836,written
430,20260730,0.2,60495,48454,written
432,20260730,0.2,60100,48145,written
431,20260730,0.2,59862,48052,written
433,20260730,0.2,59897,47887,written
434,20260730,0.2,60212,48080,written
436,20260730,0.2,60488,48386,written
435,20260730,0.2,60407,48248,written
437,20260730,0.2,60231,47989,written
440,20260730,0.2,60388,48282,written
439,20260730,0.2,59848,48071,written
438,20260730,0.2,60423,48401,written
441,20260730,0.2,60261,48153,written
442,20260730,0.2,59813,47831,written
443,20260730,0.2,60199,48217,written
444,20260730,0.2,59968,47954,written
445,20260730,0.2,60084,48058,written
446,20260730,0.2,60082,47899,written
447,20260730,0.2,60345,48265,written
448,20260730,0.2,60432,48242,written
449,20260730,0.2,60193,48131,written
451,20260730,0.2,60632,48509,written
450,20260730,0.2,60421,48245,written
452,20260730,0.2,60532,48287,written
453,20260730,0.2,60596,48459,written
455,20260730,0.2,60362,48301,written
454,20260730,0.2,60357,48357,written
456,20260730,0.2,60228,48136,written
457,20260730,0.2,60521,48414,written
458,20260730,0.2,60271,48237,written
459,20260730,0.2,59736,47754,written
460,20260730,0.2,59848,47827,written
461,20260730,0.2,60144,48171,written
462,20260730,0.2,59927,48086,written
463,20260730,0.2,60258,48210,written
464,20260730,0.2,60422,48278,written
465,20260730,0.2,61061,48661,written
466,20260730,0.2,60272,48109,written
467,20260730,0.2,60163,47999,written
468,20260730,0.2,60727,48495,written
469,20260730,0.2,60085,48063,written
470,20260730,0.2,60118,48142,written
471,20260730,0.2,60292,48116,written
472,20260730,0.2,60094,48188,written
473,20260730,0.2,60881,48707,written
474,20260730,0.2,59914,47862,written
475,20260730,0.2,59715,47807,written
476,20260730,0.2,60205,48237,written
477,20260730,0.2,60303,48320,written
478,20260730,0.2,60221,48213,written
479,20260730,0.2,60048,48135,written
480,20260730,0.2,60063,48117,written
481,20260730,0.2,60347,48168,written
482,20260730,0.2,60242,48257,written
483,20260730,0.2,60080,47967,written
484,20260730,0.2,60377,48259,written
485,20260730,0.2,60592,48501,written
486,20260730,0.2,60231,48079,written
487,20260730,0.2,60032,48067,written
488,20260730,0.2,60469,48521,written
489,20260730,0.2,60320,48164,written
490,20260730,0.2,59885,48006,written
491,20260730,0.2,60152,48202,written
492,20260730,0.2,60049,48035,written
493,20260730,0.2,60406,48331,written
495,20260730,0.2,60498,48534,written
494,20260730,0.2,60064,48154,written
496,20260730,0.2,59875,47918,written
497,20260730,0.2,60328,48354,written
498,20260730,0.2,60217,48133,written
499,20260730,0.2,59955,48135,written
500,20260730,0.2,60156,48140,written
501,20260730,0.2,59956,48097,written
502,20260730,0.2,60536,48440,written
503,20260730,0.2,60108,48095,written
504,20260730,0.2,60830,48687,written
505,20260730,0.2,59983,48026,written
506,20260730,0.2,60028,48045,written
507,20260730,0.2,60469,48291,written
508,20260730,0.2,60221,48195,written
509,20260730,0.2,59860,47819,written
511,20260730,0.2,60234,48109,written
510,20260730,0.2,60451,48529,written
512,20260730,0.2,60206,48186,written
513,20260730,0.2,60127,48196,written
514,20260730,0.2,60057,48086,written
515,20260730,0.2,60276,48211,written
516,20260730,0.2,59897,47887,written
517,20260730,0.2,60340,48341,written
518,20260730,0.2,60295,48402,written
519,20260730,0.2,60296,48484,written
520,20260730,0.2,60169,48031,written
521,20260730,0.2,59884,47913,written
522,20260730,0.2,60240,48078,written
523,20260730,0.2,59832,47693,written
524,20260730,0.2,60412,48357,written
525,20260730,0.2,60047,47877,written
526,20260730,0.2,60051,48107,written
527,20260730,0.2,60117,48088,written
529,20260730,0.2,60409,48368,written
528,20260730,0.2,59935,47865,written
531,20260730,0.2,60311,48178,written
530,20260730,0.2,60746,48825,written
532,20260730,0.2,60274,48228,written
533,20260730,0.2,59970,48056,written
535,20260730,0.2,60143,48057,written
534,20260730,0.2,60271,48216,written
536,20260730,0.2,60276,48176,written
537,20260730,0.2,59926,47968,written
538,20260730,0.2,60141,47990,written
539,20260730,0.2,60604,48478,written
540,20260730,0.2,60040,48102,written
541,20260730,0.2,60004,47978,written
542,20260730,0.2,59541,47678,written
543,20260730,0.2,60087,47960,written
544,20260730,0.2,60043,48114,written
546,20260730,0.2,60431,48185,written
545,20260730,0.2,60585,48604,written
547,20260730,0.2,60493,48318,written
548,20260730,0.2,59819,47873,written
549,20260730,0.2,60219,48133,written
550,20260730,0.2,60502,48474,written
551,20260730,0.2,60226,48241,written
553,20260730,0.2,60347,48214,written
554,20260730,0.2,59536,47769,written
552,20260730,0.2,59916,47972,written
555,20260730,0.2,60172,48048,written
556,20260730,0.2,59968,47939,written
557,20260730,0.2,59905,48049,written
558,20260730,0.2,59738,47514,written
559,20260730,0.2,60153,48205,written
560,20260730,0.2,60790,48596,written
562,20260730,0.2,60207,48300,written
561,20260730,0.2,60752,48670,written
563,20260730,0.2,60608,48629,written
564,20260730,0.2,59975,48200,written
565,20260730,0.2,60430,48485,written
566,20260730,0.2,59913,48004,written
567,20260730,0.2,60129,47883,written
568,20260730,0.2,60442,48480,written
569,20260730,0.2,59866,47789,written
570,20260730,0.2,60218,48102,written
571,20260730,0.2,60049,48047,written
572,20260730,0.2,60440,48378,written
573,20260730,0.2,60375,48368,written
574,20260730,0.2,60738,48802,written
575,20260730,0.2,60503,48294,written
576,20260730,0.2,59826,47772,written
577,20260730,0.2,60338,48199,written
578,20260730,0.2,60118,48052,written
579,20260730,0.2,59814,47674,written
580,20260730,0.2,59721,47646,written
581,20260730,0.2,60388,48416,written
582,20260730,0.2,60149,48262,written
583,20260730,0.2,60779,48667,written
585,20260730,0.2,60539,48419,written
584,20260730,0.2,60309,48380,written
586,20260730,0.2,59950,47879,written
587,20260730,0.2,60095,48007,written
589,20260730,0.2,60493,48529,written
588,20260730,0.2,60034,48255,written
590,20260730,0.2,60622,48566,written
591,20260730,0.2,60558,48367,written
592,20260730,0.2,60097,48126,written
593,20260730,0.2,59859,47994,written
594,20260730,0.2,59836,47945,written
