candidate,epoch,image_path,sample_fraction,grid_size,grid_spacing_mm,path_step_mm,phantom_radius_mm,batch_size,subsets,epochs,relaxation,relaxation_decay,regularizer,regularization_weight,regularization_iterations,regularization_every_epochs,huber_delta,primal_step,dual_step,seed,finite_fraction,image_min,image_max,water_mean,water_std,water_rmse_vs_1,water_mae_vs_1,outside_mean,outside_std,outside_rmse_vs_0,phantom_rmse_vs_red_truth,phantom_mae_vs_red_truth,phantom_rmse_vs_rsp_truth,phantom_mae_vs_rsp_truth,aluminium_voxel_rmse_vs_red_truth,aluminium_voxel_rmse_vs_rsp_truth,aluminium_excess_red_recovery,aluminium_excess_rsp_recovery,insert_peak_mean,insert_contrast_mean,insert_cnr_median,insert_roi_cnr_median,insert_roi_red_recovery_mean,insert_roi_rsp_recovery_mean,insert_contrast_centroid_offset_mean_mm,insert_contrast_centroid_offset_max_mm,insert_peak_offset_mean_mm,insert_peak_offset_max_mm,aluminium_edge_10_90_median_mm,water_bias_fraction,phantom_rmse_ratio,aluminium_error_degradation_pp,edge_width_ratio,constraints_passed
r0p1_d0p2_b0p0125,3,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage8b/optimization/360_angles_x_20pct/development/r0p1_d0p2_b0p0125/recon/epoch_03.mhd,1.0,2100,0.1,0.1,100.0,4096,18,5,0.1,0.2,huber_tv,0.0125,100,1,0.002,0.25,0.25,20260713,1.0,0.0,2.187973976135254,1.0029629468917847,0.0312669612467289,0.031407041570263014,0.023550285026431084,0.0,0.0,0.0,0.08694611105041178,0.038752127438783646,0.06804387216646546,0.03529667481780052,0.5534259506921954,0.3558687831591449,0.6084014588205245,0.7303408576244841,2.0995933532714846,1.0974315285682679,37.84622601910753,30.87846835540598,0.6772915464710997,0.8130382902177388,0.06409001911116871,0.5421097760938792,0.582979651260715,0.9281381995955986,1.796820897647743,0.003217955016992846,1.1957836485714881,-2.1486984038404877,1.0164567335063284,False
r0p1_d0p2_b0p0125,4,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage8b/optimization/360_angles_x_20pct/development/r0p1_d0p2_b0p0125/recon/epoch_04.mhd,1.0,2100,0.1,0.1,100.0,4096,18,5,0.1,0.2,huber_tv,0.0125,100,1,0.002,0.25,0.25,20260713,1.0,0.0,2.174424648284912,1.0022602081298828,0.027416503056883812,0.027509506873337183,0.02017589472234249,0.0,0.0,0.0,0.08519126516076589,0.03523630648851395,0.06572225540538806,0.031780045479536057,0.554287003109644,0.3564778760517989,0.6074758223011525,0.7292296995895948,2.0890116691589355,1.0874713206291198,43.344149095646884,35.31128323846269,0.6766925606237564,0.8123192521140952,0.06347977163562818,0.5425222518548073,0.5627888763146747,0.9281381995955986,1.7971807865498701,0.002515037580400392,1.1549842161941808,-2.12877044625307,1.0166603216871872,False
r0p1_d0p2_b0p0125,5,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage8b/optimization/360_angles_x_20pct/development/r0p1_d0p2_b0p0125/recon/epoch_05.mhd,1.0,2100,0.1,0.1,100.0,4096,18,5,0.1,0.2,huber_tv,0.0125,100,1,0.002,0.25,0.25,20260713,1.0,0.0,2.162667989730835,1.0017390251159668,0.023975864052772522,0.024038848352813627,0.01716902107000351,0.0,0.0,0.0,0.0838580543304461,0.03217166289687157,0.06392622795684734,0.028714818879961967,0.5550360247747909,0.35700015306827604,0.6066614515665877,0.7282521078825345,2.0799317836761473,1.0787874174118042,49.97868916557178,40.50861090285266,0.6760327777164578,0.8115272316471928,0.06294430389357317,0.5431350759394368,0.5525267926132915,0.9281381995955986,1.7964422402141642,0.0019937220532109112,1.1234213408466927,-1.6952618811673092,1.0162425280178697,False
r0p15_d0p2_b0p0125,1,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage8b/optimization/360_angles_x_20pct/development/r0p15_d0p2_b0p0125/recon/epoch_01.mhd,1.0,2100,0.1,0.1,100.0,4096,18,5,0.15,0.2,huber_tv,0.0125,100,1,0.002,0.25,0.25,20260713,1.0,0.0,2.2205398082733154,1.004151701927185,0.04031141474843025,0.04052465451690814,0.03136511892080307,0.0,0.0,0.0,0.09178796031502663,0.04692938178777695,0.07424774308699661,0.04347672685980797,0.5517201038744528,0.35471334927092657,0.6102954699407627,0.7326144775934216,2.1270415210723876,1.1235517644882203,29.581007429361637,23.446866060799536,0.6784735277207699,0.8144571710812436,0.0652820551939742,0.5415211769307692,0.5346907336178944,0.9281381995955986,1.8068837358147478,0.0044070122990453875,1.3048087109087754,-0.838217576724487,1.0221492539052321,False
r0p15_d0p2_b0p0125,2,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage8b/optimization/360_angles_x_20pct/development/r0p15_d0p2_b0p0125/recon/epoch_02.mhd,1.0,2100,0.1,0.1,100.0,4096,18,5,0.15,0.2,huber_tv,0.0125,100,1,0.002,0.25,0.25,20260713,1.0,0.0,2.20104718208313,1.0027066469192505,0.03547722101211548,0.035580319803324136,0.027148764580488205,0.0,0.0,0.0,0.08837056176744248,0.041942961513996124,0.06989406550559389,0.038488470017910004,0.5529525763703874,0.3556051077345544,0.608993472145211,0.7310515257417415,2.1111991214752197,1.1092974662780761,33.53620035336247,26.912095433545588,0.6782370523084594,0.8141732998799784,0.06381651690500115,0.541735257160451,0.5583020183381393,0.9281381995955986,1.7786590185573599,0.0029615898789649986,1.228298419868058,-1.5945945078985835,1.0061826075104012,False
r0p15_d0p2_b0p0125,3,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage8b/optimization/360_angles_x_20pct/development/r0p15_d0p2_b0p0125/recon/epoch_03.mhd,1.0,2100,0.1,0.1,100.0,4096,18,5,0.15,0.2,huber_tv,0.0125,100,1,0.002,0.25,0.25,20260713,1.0,0.0,2.1860251426696777,1.0016354322433472,0.031107699498534203,0.031150658759240064,0.023340832442045212,0.0,0.0,0.0,0.0861278518526666,0.03786371648311615,0.06696891103989787,0.03440810367465019,0.5538496618461988,0.356225041241445,0.6080098592869962,0.72987077140918,2.098782138824463,1.097770004272461,38.034967759820255,31.030240235734883,0.6777897564835352,0.813636354402639,0.06280306614869154,0.5421532898044701,0.5515109828374831,0.9281381995955986,1.7972253075159073,0.0018901028416080656,1.1768925875975507,-2.1874288935115116,1.0166855070775451,False
r0p15_d0p2_b0p0125,4,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage8b/optimization/360_angles_x_20pct/development/r0p15_d0p2_b0p0125/recon/epoch_04.mhd,1.0,2100,0.1,0.1,100.0,4096,18,5,0.15,0.2,huber_tv,0.0125,100,1,0.002,0.25,0.25,20260713,1.0,0.0,2.172776460647583,1.0009857416152954,0.027179738506674767,0.027197610080839176,0.01992323063313961,0.0,0.0,0.0,0.08449065224331267,0.03435483202338219,0.0647963712190471,0.030898435041308403,0.5545067856802152,0.35665074805162167,0.6072553107114769,0.7289649917701363,2.088419828414917,1.0878511571884155,43.639184033077875,35.54553140625392,0.6772318427749059,0.8129666203566194,0.061985104441072233,0.5425736992697584,0.5627888763146747,0.9281381995955986,1.7975536890319574,0.0012402470266072996,1.1387129909501377,-2.1005136987219397,1.0168712716151156,False
r0p15_d0p2_b0p0125,5,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage8b/optimization/360_angles_x_20pct/development/r0p15_d0p2_b0p0125/recon/epoch_05.mhd,1.0,2100,0.1,0.1,100.0,4096,18,5,0.15,0.2,huber_tv,0.0125,100,1,0.002,0.25,0.25,20260713,1.0,0.0,2.1613264083862305,1.000573754310608,0.02367986924946308,0.023686817729847313,0.01688368245959282,0.0,0.0,0.0,0.08325629413350069,0.031297653913497925,0.06313021482732045,0.027840659022331238,0.5550764771358657,0.3570135958349227,0.6065939672397356,0.7281710979499731,2.079528045654297,1.079191701412201,50.31454435548147,40.85242300765608,0.6766071753037489,0.8122167533675062,0.06130498646153002,0.5431897656346888,0.5525267926132915,0.9281381995955986,1.7967915199092195,0.000828154972177586,1.109432432602203,-1.6759858791896787,1.0164401145989144,False
r0p25_d0p2_b0p0125_decay_0p1,1,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage8b/optimization/360_angles_x_20pct/development/r0p25_d0p2_b0p0125_decay_0p1/recon/epoch_01.mhd,1.0,2100,0.1,0.1,100.0,4096,18,5,0.25,0.1,huber_tv,0.0125,100,1,0.002,0.25,0.25,20260713,1.0,0.0,2.2179670333862305,1.0029826164245605,0.04024011641740799,0.04035049441641894,0.031222309917211533,0.0,0.0,0.0,0.09054231735688678,0.04587148502469063,0.07266967762375835,0.04241865873336792,0.5523030292598295,0.3552116063671514,0.6097707075059653,0.7319845391849534,2.126047821044922,1.1239112424850464,29.674087314806194,23.51796175009235,0.6789849415205818,0.8150710854340204,0.06403718166381583,0.5415592038100756,0.5346907336178944,0.9281381995955986,1.8090912945548425,0.003237629550841392,1.277076237473119,-0.8856606280547075,1.0233980639279325,False
r0p25_d0p2_b0p0125_decay_0p1,2,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage8b/optimization/360_angles_x_20pct/development/r0p25_d0p2_b0p0125_decay_0p1/recon/epoch_02.mhd,1.0,2100,0.1,0.1,100.0,4096,18,5,0.25,0.1,huber_tv,0.0125,100,1,0.002,0.25,0.25,20260713,1.0,0.0,2.1985220909118652,1.0009300708770752,0.035187363624572754,0.035199650702436996,0.026848388835787773,0.0,0.0,0.0,0.08737700550112847,0.04082553833723068,0.06860697494372876,0.037370819598436356,0.5533733122758264,0.35594488607966146,0.6085859591124667,0.7305623365501104,2.11019287109375,1.1096955156326294,33.71774068897331,27.087230164134365,0.6789188462612289,0.8149917429751693,0.06187805836509506,0.5418069285383793,0.539687472423307,0.9281381995955986,1.7773239622481936,0.001184562133835776,1.205679456556509,-1.642636761274452,1.0054273697586371,False
r0p25_d0p2_b0p0125_decay_0p1,3,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage8b/optimization/360_angles_x_20pct/development/r0p25_d0p2_b0p0125_decay_0p1/recon/epoch_03.mhd,1.0,2100,0.1,0.1,100.0,4096,18,5,0.25,0.1,huber_tv,0.0125,100,1,0.002,0.25,0.25,20260713,1.0,0.0,2.183828830718994,1.0001063346862793,0.030649933964014053,0.030650119094266598,0.02294977195560932,0.0,0.0,0.0,0.08536612284617254,0.036787282675504684,0.06598605039240536,0.033331479877233505,0.5537994347559595,0.3561431339378836,0.6079994218612853,0.7298582420532184,2.0982007122039796,1.0981838035583495,38.46287020654791,31.371877394502093,0.6785754590423803,0.8145795320761112,0.06030671176985086,0.542250046971421,0.554624055781564,0.9281381995955986,1.7975316441173594,0.00036061650417451574,1.1596200742370433,-2.215188430834547,1.0168588008664103,False
r0p25_d0p2_b0p0125_decay_0p1,4,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage8b/optimization/360_angles_x_20pct/development/r0p25_d0p2_b0p0125_decay_0p1/recon/epoch_04.mhd,1.0,2100,0.1,0.1,100.0,4096,18,5,0.25,0.1,huber_tv,0.0125,100,1,0.002,0.25,0.25,20260713,1.0,0.0,2.1707730293273926,0.9997347593307495,0.02661827579140663,0.02661959758072404,0.019472636282444,0.0,0.0,0.0,0.08392742926172106,0.033344440162181854,0.06407893292965111,0.02988784946501255,0.5541500991150841,0.3563022326624622,0.607512259596891,0.7292734398624581,2.0881760501861573,1.088354606628418,44.337851269143314,36.096163871941414,0.6781228596932347,0.8140362201111234,0.05911458848081974,0.5426947430494471,0.5437890062302785,0.9281381995955986,1.797881462576669,1.1053326166243771e-05,1.1261049345887946,-2.0888747909021066,1.01705669222494,False
r0p25_d0p2_b0p0125_decay_0p1,5,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage8b/optimization/360_angles_x_20pct/development/r0p25_d0p2_b0p0125_decay_0p1/recon/epoch_05.mhd,1.0,2100,0.1,0.1,100.0,4096,18,5,0.25,0.1,huber_tv,0.0125,100,1,0.002,0.25,0.25,20260713,1.0,0.0,2.1595332622528076,0.9995505213737488,0.023049553856253624,0.023053936487480258,0.016392117366194725,0.0,0.0,0.0,0.08286278579147756,0.030364898964762688,0.06264411796793276,0.02690770849585533,0.5544984449909429,0.3564782650675299,0.6070505676795462,0.7287192129355117,2.07954327583313,1.079812889099121,51.15217760060718,41.6923975935995,0.6776216482552776,0.813434552937397,0.058173160113095514,0.5433228100957493,0.5390507079677547,0.9281381995955986,1.7970998835202678,0.00019533812654859428,1.100889904707028,-1.6767130263529606,1.0166145550616388,False
r0p25_d0p2_b0p0125_decay_0p4,1,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage8b/optimization/360_angles_x_20pct/development/r0p25_d0p2_b0p0125_decay_0p4/recon/epoch_01.mhd,1.0,2100,0.1,0.1,100.0,4096,18,5,0.25,0.4,huber_tv,0.0125,100,1,0.002,0.25,0.25,20260713,1.0,0.0,2.2179670333862305,1.0029826164245605,0.04024011641740799,0.040350494390777425,0.031222309917211533,0.0,0.0,0.0,0.09054231736149783,0.04587148502469063,0.0726696776201177,0.04241865873336792,0.5523030293326551,0.35521160636264654,0.6097707073595213,0.7319845390091584,2.126047821044922,1.1239112424850464,29.674087314806194,23.51796175009235,0.6789849415205818,0.8150710854340204,0.06403718170079539,0.5415592039050277,0.5346907336178944,0.9281381995955986,1.8090912863482345,0.003237629550841392,1.2770762374091391,-0.8856606280547075,1.0233980592854766,False
r0p25_d0p2_b0p0125_decay_0p4,2,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage8b/optimization/360_angles_x_20pct/development/r0p25_d0p2_b0p0125_decay_0p4/recon/epoch_02.mhd,1.0,2100,0.1,0.1,100.0,4096,18,5,0.25,0.4,huber_tv,0.0125,100,1,0.002,0.25,0.25,20260713,1.0,0.0,2.1989364624023438,1.0012463331222534,0.03525938466191292,0.035281404606806344,0.02691175602376461,0.0,0.0,0.0,0.08753572116503627,0.041024114936590195,0.06881059982954593,0.03756943345069885,0.5533556513721979,0.3559364002968169,0.6086112405324519,0.7305926850209863,2.110321493148804,1.1096097064018249,33.677676040541265,27.04835176679277,0.6787751594485534,0.8148192576088404,0.062310966042282256,0.5417905333581541,0.539687472423307,0.9281381995955986,1.7776162517188583,0.001500904790202151,1.2092579023613967,-1.6364958509479388,1.0055927171235186,False
r0p25_d0p2_b0p0125_decay_0p4,3,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage8b/optimization/360_angles_x_20pct/development/r0p25_d0p2_b0p0125_decay_0p4/recon/epoch_03.mhd,1.0,2100,0.1,0.1,100.0,4096,18,5,0.25,0.4,huber_tv,0.0125,100,1,0.002,0.25,0.25,20260713,1.0,0.0,2.184445858001709,1.0005106925964355,0.030809886753559113,0.030814118844997865,0.023075608536601067,0.0,0.0,0.0,0.08554856571907499,0.03708409518003464,0.06621632188556556,0.033628348261117935,0.5539106238842508,0.3562523532942476,0.6079200240954667,0.7297629309201816,2.098270034790039,1.0980184078216553,38.31253888730573,31.252410765535775,0.6782984013751192,0.8142469448863625,0.06118704846397968,0.5422149670253593,0.5506243708113262,0.9281381995955986,1.7974763984047823,0.0007650772242628889,1.1636667999374777,-2.211878704641679,1.0168275485158729,False
r0p25_d0p2_b0p0125_decay_0p4,4,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage8b/optimization/360_angles_x_20pct/development/r0p25_d0p2_b0p0125_decay_0p4/recon/epoch_04.mhd,1.0,2100,0.1,0.1,100.0,4096,18,5,0.25,0.4,huber_tv,0.0125,100,1,0.002,0.25,0.25,20260713,1.0,0.0,2.171541213989258,1.0001354217529297,0.026851458474993706,0.026851800983517648,0.019649891182780266,0.0,0.0,0.0,0.08407806339746111,0.03367907926440239,0.06426192408344296,0.030222568660974503,0.5543975652958485,0.3565303383484746,0.6073154185463665,0.72903714677083,2.08811731338501,1.0880635619163512,44.033365997397176,35.856681887201574,0.6777093569732792,0.8135398407510311,0.060376100710109654,0.5426406473365584,0.5491104361118091,0.9281381995955986,1.7977864986378478,0.0003897109663506537,1.129320769058094,-2.0860704706899935,1.0170029713809865,False
r0p25_d0p2_b0p0125_decay_0p4,5,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage8b/optimization/360_angles_x_20pct/development/r0p25_d0p2_b0p0125_decay_0p4/recon/epoch_05.mhd,1.0,2100,0.1,0.1,100.0,4096,18,5,0.25,0.4,huber_tv,0.0125,100,1,0.002,0.25,0.25,20260713,1.0,0.0,2.1603188514709473,0.9999174475669861,0.023343181237578392,0.02334332850038739,0.016611162573099136,0.0,0.0,0.0,0.08295893891458646,0.03070104494690895,0.06274746873274667,0.027243943884968758,0.5548870917008798,0.3568261254772165,0.6067278893584912,0.7283318615274578,2.0793354606628416,1.0793761563301087,50.738125859557464,41.27680294132242,0.677058869432897,0.8127589786829958,0.05974293490436926,0.5432586648361455,0.5462019479348746,0.9281381995955986,1.7970192899149473,0.00017168135942791096,1.1027061616409293,-1.6667911329055762,1.0165689634765716,False
