seed,fraction,fluence_per_mm2_projection,epoch,image_path,finite_fraction,image_min,image_max,water_mean,water_std,water_rmse_vs_1,water_mae_vs_1,outside_mean,outside_std,outside_rmse_vs_0,phantom_rmse_vs_red_truth,phantom_mae_vs_red_truth,phantom_rmse_vs_rsp_truth,phantom_mae_vs_rsp_truth,aluminium_voxel_rmse_vs_red_truth,aluminium_voxel_rmse_vs_rsp_truth,aluminium_excess_red_recovery,aluminium_excess_rsp_recovery,insert_peak_mean,insert_contrast_mean,insert_cnr_median,insert_roi_cnr_median,insert_roi_red_recovery_mean,insert_roi_rsp_recovery_mean,insert_contrast_centroid_offset_mean_mm,insert_contrast_centroid_offset_max_mm,insert_peak_offset_mean_mm,insert_peak_offset_max_mm,aluminium_edge_10_90_median_mm,water_bias_fraction,phantom_rmse_ratio,aluminium_error_degradation_pp,edge_width_ratio,passed
20260730,0.2,180.0,4,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage8b/transition/seed_20260730/f0200/iterative/recon/epoch_04.mhd,1.0,0.0,2.106497287750244,0.9998835921287537,0.014818277209997177,0.014818732939906744,0.01071218866854906,0.0,0.0,0.0,0.08043740753069158,0.024832820519804955,0.05940362330126863,0.02137419953942299,0.5539447481172317,0.3556654934573424,0.6070827774388805,0.7287578783642594,2.066233673095703,1.0661725449562072,79.28628881495413,68.82845903485423,0.6775158954853246,0.8133076045770983,0.05830672932056261,0.5436084603239487,0.45321100786116353,1.018479472620778,1.7843604752154523,0.00013781731328843527,1.0439423734701183,-1.0412615335449682,1.009407906157862,False
20260730,0.2,180.0,5,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage8b/transition/seed_20260730/f0200/iterative/recon/epoch_05.mhd,1.0,0.0,2.0979294776916504,0.9996873736381531,0.0120047302916646,0.012008797832443893,0.008387217298150063,0.0,0.0,0.0,0.07995024858686521,0.022536829113960266,0.0587026586642394,0.019078142940998077,0.5543836621469748,0.35594807513989524,0.606577696129997,0.7281515656887192,2.0593113708496094,1.059305992126465,100.34729284420102,87.36712614357793,0.6769311002926495,0.8126056013023529,0.05749734740239845,0.5446332758684856,0.4252220641997601,0.9251431957042523,1.781527590780349,5.845106680169021e-05,1.0316238203881334,-0.7107642690714733,1.0078053510767877,False
20260730,0.175,157.5,0,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage8b/transition/seed_20260730/f0175/analytic/recon_ddb_nohann.mhd,1.0,-0.38597437739372253,2.1858255863189697,0.9942770600318909,0.03723730146884918,0.03767451790266484,0.028813041746616364,0.1123419776558876,0.11679203063249588,0.1620527623453821,0.09735343114606478,0.04852466657757759,0.08065399224650957,0.04506657272577286,0.5592378989772443,0.36121291022845914,0.6035236863419207,0.7244854532961859,2.120638427734375,1.1248448705673217,32.89675836247686,25.858115339779197,0.678023249994677,0.8139166460526155,0.0684456481633481,0.536775272772475,0.51550715281972,1.0560592116480354,1.7682959301318877,0.00547014027116921,1.4173903108341805,-1.1439258161437982,1.0003202363504362,False
20260730,0.175,157.5,1,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage8b/transition/seed_20260730/f0175/iterative/recon/epoch_01.mhd,1.0,0.0,2.17016339302063,1.0029791593551636,0.03156324848532677,0.03170352746719372,0.023959698155522346,0.0,0.0,0.0,0.08657879944707059,0.038940221071243286,0.06765560879491887,0.03548339381814003,0.5518308172924499,0.3543404386610603,0.6095472238341992,0.731716263601231,2.1062287044525148,1.1040039658546448,38.56962280342537,30.926289339630845,0.6788210416778425,0.8148743358236022,0.06320811012520099,0.5374546189193591,0.5455942477869435,1.1970592812474854,1.7734646442931024,0.0032341716024679723,1.1889604185545541,-1.8319012840110505,1.003244164004892,False
20260730,0.175,157.5,2,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage8b/transition/seed_20260730/f0175/iterative/recon/epoch_02.mhd,1.0,0.0,2.1510207653045654,1.0010488033294678,0.026929043233394623,0.026949456911886632,0.01982998661696911,0.0,0.0,0.0,0.0840056580176293,0.034124359488487244,0.0642481343537445,0.03066650591790676,0.5529230248851937,0.35513190476287426,0.6083932021520495,0.7303309461059502,2.0913119888305665,1.090652940273285,45.38044011315751,37.129096668405104,0.6787233169668092,0.814757024552873,0.061164239107625674,0.5382835196915723,0.5475643535889616,1.1549416932963295,1.7717821467153392,0.0013033247745222187,1.1290784322720377,-2.2385965318328482,1.00229237966497,False
20260730,0.175,157.5,3,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage8b/transition/seed_20260730/f0175/iterative/recon/epoch_03.mhd,1.0,0.0,2.1372246742248535,1.0002589225769043,0.022894566878676414,0.02289603028782202,0.01626879908144474,0.0,0.0,0.0,0.08252085831323186,0.030402733013033867,0.062248831266339934,0.02694450132548809,0.5534284509155654,0.35543153536327216,0.6077792676922976,0.7295939632908043,2.080373468399048,1.0801820349693299,53.754718592927475,44.91658689207028,0.6783339161730245,0.8142895777683418,0.0597206616412273,0.5392483292165698,0.5122866415410564,1.018479472620778,1.768050865121833,0.0005132431910002122,1.0939432486862466,-1.7163496042237103,1.0001816037354978,False
20260730,0.175,157.5,4,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage8b/transition/seed_20260730/f0175/iterative/recon/epoch_04.mhd,1.0,0.0,2.12565016746521,0.999885082244873,0.019453343003988266,0.01945368271134716,0.013232356868684292,0.0,0.0,0.0,0.08154268482576267,0.0273669995367527,0.06090635031309093,0.023908574134111404,0.553862214126137,0.35568868023488853,0.6072531232359021,0.7289623658678408,2.0716376304626465,1.0716252970695495,64.0380600729922,54.74971133575147,0.6778178520273425,0.8136700810201036,0.05865307538317111,0.5402788921949154,0.4967771513231648,1.018479472620778,1.7641478120800445,0.0001393078082769783,1.0703508703970377,-1.2992671888331309,0.9979736571612164,False
20260730,0.175,157.5,5,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage8b/transition/seed_20260730/f0175/iterative/recon/epoch_05.mhd,1.0,0.0,2.114941120147705,0.9996879696846008,0.016558358445763588,0.016561299936449142,0.010701442137360573,0.0,0.0,0.0,0.0808759550188505,0.024881334975361824,0.05997152582014624,0.02142278477549553,0.5542982045183806,0.3559617483604841,0.6067422287107828,0.7283490748570751,2.064253921508789,1.0643072128295898,77.76656642665617,65.98293947428675,0.6772332094796082,0.8129682609842931,0.057832864956037434,0.5413626600566541,0.4428244611402499,0.9184863748422618,1.7622950776475397,5.7854868806272997e-05,1.0539225307485731,-0.9467405980886578,0.9969255702919109,False
20260730,0.15,135.0,0,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage8b/transition/seed_20260730/f0150/analytic/recon_ddb_nohann.mhd,1.0,-0.5367550253868103,2.2225265502929688,0.9942455291748047,0.046581774950027466,0.046935860332903104,0.034292057156562805,0.1122661828994751,0.12731418013572693,0.16974272975017132,0.10192793694878165,0.05367107316851616,0.0861017000186832,0.050216346979141235,0.560345663610821,0.36265709332017776,0.6031817146313301,0.724074941603988,2.138890628814697,1.143063988685608,29.293539723611843,23.05171677803678,0.677571534566235,0.8133743951689025,0.07016023250112885,0.5372120285011333,0.5525628773871366,1.0560592116480354,1.7256401982255036,0.00550167914512667,1.5131267771573231,-0.2724957177151266,0.9761900039073221,False
20260730,0.15,135.0,1,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage8b/transition/seed_20260730/f0150/iterative/recon/epoch_01.mhd,1.0,0.0,2.228627920150757,1.0029783248901367,0.041015662252902985,0.04112365687911168,0.029744978994131088,0.0,0.0,0.0,0.09106213844072583,0.04469297081232071,0.0732858958901149,0.04124155268073082,0.5528289148288529,0.3556443487291779,0.6092376468813339,0.7313446394146376,2.1230831146240234,1.1208062744140626,33.3903078847948,26.80937446803157,0.6783995517226141,0.8143683683797025,0.06518830412023646,0.5376706616314004,0.573675663669804,1.1184738045787608,1.7351803956314824,0.003233336925274388,1.2879054819502342,-1.027207085756232,0.9815868678379351,False
20260730,0.15,135.0,2,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage8b/transition/seed_20260730/f0150/iterative/recon/epoch_02.mhd,1.0,0.0,2.2096073627471924,1.0010453462600708,0.03639671951532364,0.03641172499309317,0.02547113597393036,0.0,0.0,0.0,0.0880780981787343,0.039844777435064316,0.06946836441371002,0.03639117628335953,0.5538462340873623,0.3563293514218401,0.6080951180983439,0.7299731182929636,2.1069382095336913,1.106229124069214,38.247155268552454,31.265617190050094,0.6783254621282236,0.8142794293143026,0.06303461045166198,0.5384251414631435,0.5687938776560729,1.1549416932963295,1.7367399325235933,0.001299866826148799,1.2208172700062687,-1.7980267896416047,0.9824690936497635,False
20260730,0.15,135.0,3,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage8b/transition/seed_20260730/f0150/iterative/recon/epoch_03.mhd,1.0,0.0,2.186295986175537,1.00025475025177,0.03233788162469864,0.03233888650991017,0.021738311275839806,0.0,0.0,0.0,0.08616878809534886,0.03601209074258804,0.06698979606399312,0.03255680575966835,0.5542869102520477,0.35653874957200987,0.6074927922953084,0.7292500708097917,2.0945463752746583,1.0943085408210755,44.32413708163156,36.70409935597831,0.6779580404309685,0.8138383668057249,0.06149000777142374,0.5393291524165639,0.5596853274809774,1.1549416932963295,1.73657197527249,0.0005090698050322917,1.1772596150684744,-2.3896604945596867,0.9823740806860071,False
20260730,0.15,135.0,4,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage8b/transition/seed_20260730/f0150/iterative/recon/epoch_04.mhd,1.0,0.0,2.163804292678833,0.9998803734779358,0.028804095461964607,0.028804345033207883,0.018493101000785828,0.0,0.0,0.0,0.08478157540607774,0.03279726952314377,0.06515937998961982,0.029340693727135658,0.5546645771638669,0.35671815140644186,0.6069774647965293,0.728631458342712,2.0842742919921875,1.0842235636711122,50.88652274471996,43.04049091706034,0.6774639926555805,0.813245299077831,0.060336127776949994,0.5403118662723643,0.5477366150822703,1.0761920834921155,1.7416671299449522,0.00013459784411318232,1.1450924037953818,-1.902589886848438,0.9852563959361583,False
20260730,0.15,135.0,5,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage8b/transition/seed_20260730/f0150/iterative/recon/epoch_05.mhd,1.0,0.0,2.145146608352661,0.9996826648712158,0.025733036920428276,0.025734994929462678,0.01570146530866623,0.0,0.0,0.0,0.08373091564959494,0.03006879799067974,0.06375012266455524,0.026611100882291794,0.5550521893270915,0.3569241604369931,0.6064761364609164,0.7280296508334191,2.075587520599365,1.075614938735962,60.143229792738914,50.54459964903157,0.676902321396491,0.8125710543710514,0.05946034933104362,0.5413607480392102,0.5179511775968773,0.9281381995955986,1.7390999934904168,6.316103096537518e-05,1.1203265165481193,-1.4878500964767505,0.9838041737706336,False
