run_id,paired,physical,filtered_support_hit,train,validation,test,screen_train,pairs_sha256,events_sha256,partition_sha256,wepl_mean_mm,wepl_min_mm,wepl_max_mm,air_only_count,air_only_residual_sum_mm,air_only_residual_abs_sum_mm,inside_grid,outside_grid,selected,train_count,fallback_bins,occupied_bins,status
28,1901053,1901053,1233793,987752,123254,122787,98966,33030ae385bb389f57d8d55407fcc361f357966341e675fdb5311e2ff36108ed,428f38955c80735f0acf925cf22cec3994a7c9ce26ae075e8fe449d3569b1260,18e73f1c9ebdca2cbf280e15f1878c24991d77cac86c59bea8489ee2f4aefd30,71.5574722290039,0.0,117.55889129638672,592933,-2975.549852686202,24508.63440857079,1878333,22720,1826726,1522008,0,1200,PASS
29,1903882,1903882,1233622,986226,123151,124245,98633,af6e294eeef23c514e373ae1c87215b98ae4c444b84fa976bf8220c94ce4536b,bfc5ec1aa70a5025b216413433c3712d492d674b5eae1bf61b3610122cde9d5e,fbd8cff52f8576f0fa99889f772c79a65532f70eba03758c26945ee40b1fa5fc,71.5307388305664,0.0,118.99406433105469,595722,-3356.27669943785,24263.768959904875,1881036,22846,1829344,1522424,0,1200,PASS
30,1902230,1902230,1232240,985841,123243,123156,97850,c554cefcde85c852ebc8f50057eba599d20488267701fc2ed45d8ba6d297d0f2,0693e9084ed27cb42e07d78114ea1167e6f7694afed5e7554c75b369400ceab4,499597672b6d1510725fd422189b9cbe26a1c379ec976e5c8bf3fd5b8db39557,71.58719635009766,0.0,120.7768325805664,594356,-3564.086896388157,23981.371218440894,1879455,22775,1826596,1521435,0,1200,PASS
31,1899514,1899514,1231049,985037,123249,122763,98769,0bd2145fb8ec81dd1aa482ba679d0e2405c9731be2a389b35611666b03c04164,de27f699bc9d308668b57be793ff8a387183e85bbd13fa12ad3d2b86d35fe4f4,1583a425057468824d5b2eb4c80f09680337aa28c13d3fb029cc0c545fbeec45,71.55824279785156,0.0,128.6246337890625,592643,-3363.6000002967758,24125.636287010602,1876570,22944,1823692,1520072,0,1200,PASS
32,1902651,1902651,1233674,986558,123521,123595,98698,7c291ce8ea259e477f760d0a243baf43856766f65427280e8f0d89e8d63090fd,ede7e3f4e26f56b12df1b1c5b565c8108570d604df3fcb15b9d0b53518827cd7,721ee06e7bcb9b3766f0907cdbaa294a744f8d92d7e61e84e4e33b65aaec1dea,71.58345794677734,0.0,116.01220703125,593089,-3702.4708793952823,23780.93730830759,1879824,22827,1826763,1521948,0,1200,PASS
33,1898892,1898892,1231000,985206,123157,122637,98203,fdeaac32f727c829d48dc5793fd197b6b41153af615ac482c9c2cbf2c217dcd9,c888b5214f47546a82ced5613a055dca2aa66c9a7569ae4883843876e3670329,deceb3592e3c53d2e9128bbbc28ef303d27cfee6f59d058d7dc699d8b5fa03eb,71.54949188232422,0.0,118.5044937133789,593183,-3371.9940577914217,24156.329426650176,1876007,22885,1824183,1519660,0,1200,PASS
34,1899586,1899586,1231520,984353,123342,123825,98230,91d8786aa9896b1bd073534463d51dc162aec96494c6964b65d93689417b0e7f,655b53155a61a9650f10b2f31e3976741bdeb6a164320d7911b4137dbbfbbf43,1e367dcb9a342da49b38a9c7797b94c11e16212466976db75480b27d9d782649,71.5804214477539,0.0,118.47541046142578,592610,-3105.1674787630354,24401.569084639723,1876912,22674,1824130,1518678,0,1200,PASS
35,1898407,1898407,1230837,984537,123277,123023,98570,fd2f082866d5e5ec45a378ad54bc8c98fc34811be6fa96520c562af84994a8ac,923513762e0326a8c8330613a8c93d12e12d67ad2dbdbb6d8fbf8c527db62fdf,c9f0636d05e358086f603089294879649061b3764c5225014565cc95d011fc53,71.58338928222656,0.0,119.46490478515625,592426,-3192.8981781237353,24255.49707994372,1875682,22725,1823263,1518661,0,1200,PASS
36,1899550,1899550,1230453,985363,122799,122291,98599,9a40fa914dc09d2d1a92f69db27f2ee619fc2d5d1cea3b1d0f9b5ad02521de15,ef16f189e93c882821e880be3d556bfd18822f5dea8728a7ac6e4b9a27317ab4,357efbdce9d5cfb25cbac9de40b33261a49e0d810db01e681e25591d74a3809f,71.54674530029297,0.0,124.23486328125,594294,-3314.322299769633,24211.637220271732,1876649,22901,1824747,1520940,0,1200,PASS
37,1901403,1901403,1234272,987611,123401,123260,98956,d4859f3ba1d0ae6f8b31e9c3f549d44dc4342856a90c0aa7625dd04073be7e5a,2f6503c25b937de35158310256aefc2b0f7d4b5d6e9bd09904f38f16f57b69c2,5640ed99b959b4f66d427505a1636603d606b8771dab7c262ebdd53f4d37d0b9,71.5792465209961,0.0,126.31908416748047,592145,-3541.0490143314223,23896.31620812064,1878656,22747,1826417,1521843,0,1200,PASS
38,1899692,1899692,1231748,985593,123087,123068,98940,f34ebb53f16232f2facd78e1ee0c686f8691fbe5fe74dda3a827047e0c558517,7024a391ad96b132304e21e07a6549bb692ac6d84df5aa8b88723df3f953008c,89e538f17b03ef4235dc01411fa0bfb3dfd5f4a691fe55a29be949ccb26baedc,71.54467010498047,0.0,125.52161407470703,593324,-3260.512213960082,24256.01560602209,1876779,22913,1825072,1520324,0,1200,PASS
39,1899832,1899832,1232824,986179,123109,123536,98873,ea1e463e951cb21c7ad31bfbef017246e553c0f75a2ace331fc3ed4c0c777464,5a0bffe6ec1d0fccf4ccc6d960b6119ae4246578b37a290112092cebed9effb3,730635219de341b3617e3b433584e054c8f49f67add22e35a0315dc0a07ecf3b,71.57234954833984,0.0,124.70338439941406,592052,-3072.6198972765233,24392.0657592363,1876847,22985,1824876,1520428,0,1200,PASS
40,1900939,1900939,1233534,986941,123508,123085,98812,33348443bc27fc257cc8f59cf0a21fa7e485c8d313172f73073bec020b38abc0,14627f232bfc01270979978ad28482fe9f0b4a391677a06599b5977e72274ec4,d13943c94857fd457834d95c8faa72a61e5ac5444cd7720fe94a16f8be5fbd5a,71.61799621582031,0.0,120.44303131103516,592433,-3390.5473725229876,24120.805861829413,1878237,22702,1825967,1520964,0,1200,PASS
41,1901119,1901119,1232197,986519,122794,122884,98628,cf7051d5ed950d022a7e0d44533f8cb502f0cae6bf2807a221dba2286a111936,908910633614b1db13821300171d0a3323d4366b6ecab6de9aa0f9ef1985b463,3655493d1b212c6f4ee80d592b581c25ed681337646c76fcc35496a6f13720a3,71.54468536376953,0.0,125.13152313232422,594254,-3375.286307682539,24140.079025009574,1878457,22662,1826451,1522312,0,1200,PASS
42,1902758,1902758,1233858,987426,123119,123313,98765,a7473574437ab4a54c422d5944bd4188af82d1e2251e797fba56d786dbd020ee,c799cadc222d535460ad05652c3d22f4ec5a49f680f252168b3c0857f632f2f0,32db362256ecaaeffbf195a1713d17ceaea8159d31da9b8df1ea5e6ee4f302fb,71.5844497680664,0.0,125.69883728027344,593918,-3458.2127772117374,24088.854671155976,1880102,22656,1827776,1523063,0,1200,PASS
43,1899931,1899931,1231083,985407,122532,123144,98516,40cdcd4390db1770f9f8bdaa873c1837f73807c390af06769b626ee77e031f87,2e79424d50e40e52221570fb1faa1492ade67be35eaca953cf254510591e58f6,ff381cc94fc15ffc22f93c9a936fbb5c6ca33fd692c423f21db4f69815f992e9,71.63551330566406,0.0,121.04326629638672,593278,-3506.2177384520883,24006.971561206516,1876948,22983,1824361,1520866,0,1200,PASS
