case_id,energy_mev,thickness_mm,ionization_potential_ev,median_wepl_mm,median_rsp_bias_percent
water_e200_t0050,200.0,50.0,73.5,50.291877631811616,0.5837552636232424
water_e200_t0100,200.0,100.0,73.5,100.66860898425708,0.6686089842570686
water_e220_t0005,220.0,5.0,73.5,4.936899931691812,-1.2620013661637564
water_e220_t0010,220.0,10.0,73.5,9.965957460780658,-0.34042539219342194
water_e220_t0020,220.0,20.0,73.5,20.05124095056425,0.256204752821243
water_e220_t0050,220.0,50.0,73.5,50.29057180300697,0.5811436060139341
water_e220_t0100,220.0,100.0,73.5,100.65693327202086,0.6569332720208543
water_e150_t0005,150.0,5.0,74.0,4.98373968153075,-0.32520636938500047
water_e150_t0010,150.0,10.0,74.0,10.021854147205275,0.21854147205275787
water_e150_t0020,150.0,20.0,74.0,20.102056384042044,0.5102819202102093
water_e150_t0050,150.0,50.0,74.0,50.332631191842594,0.6652623836851834
water_e150_t0100,150.0,100.0,74.0,100.72615161058971,0.7261516105897092
water_e180_t0005,180.0,5.0,74.0,4.967262445327663,-0.6547510934467482
water_e180_t0010,180.0,10.0,74.0,10.006412465490286,0.06412465490286401
water_e180_t0020,180.0,20.0,74.0,20.092670267928213,0.46335133964106046
water_e180_t0050,180.0,50.0,74.0,50.35775049214905,0.7155009842981119
water_e180_t0100,180.0,100.0,74.0,100.74480163055397,0.7448016305539706
water_e200_t0005,200.0,5.0,74.0,4.949668600463838,-1.0066279907232412
water_e200_t0010,200.0,10.0,74.0,9.992988432839724,-0.07011567160276622
water_e200_t0020,200.0,20.0,74.0,20.081996966736767,0.40998483368384075
water_e200_t0050,200.0,50.0,74.0,50.33242368925664,0.6648473785132891
water_e200_t0100,200.0,100.0,74.0,100.75036482268277,0.7503648226827586
water_e220_t0005,220.0,5.0,74.0,4.940819711744609,-1.1836057651078091
water_e220_t0010,220.0,10.0,74.0,9.973874099010175,-0.26125900989825146
water_e220_t0020,220.0,20.0,74.0,20.06718507549033,0.3359253774516402
water_e220_t0050,220.0,50.0,74.0,50.3306885314492,0.6613770628983939
water_e220_t0100,220.0,100.0,74.0,100.73770339362997,0.7377033936299737
water_e150_t0005,150.0,5.0,74.5,4.9878332028633565,-0.24333594273286963
water_e150_t0010,150.0,10.0,74.5,10.030094127057495,0.30094127057496145
water_e150_t0020,150.0,20.0,74.5,20.118618834391157,0.5930941719557881
water_e150_t0050,150.0,50.0,74.5,50.37439180564424,0.7487836112884727
water_e150_t0100,150.0,100.0,74.5,100.81102725367501,0.8110272536750118
water_e180_t0005,180.0,5.0,74.5,4.971264399504719,-0.5747120099056202
water_e180_t0010,180.0,10.0,74.5,10.014480033545325,0.14480033545325455
water_e180_t0020,180.0,20.0,74.5,20.10889349319615,0.5444674659807358
water_e180_t0050,180.0,50.0,74.5,50.39860317942919,0.7972063588583822
water_e180_t0100,180.0,100.0,74.5,100.82730261632136,0.827302616321357
water_e200_t0005,200.0,5.0,74.5,4.953613205935113,-0.927735881297731
water_e200_t0010,200.0,10.0,74.5,10.00095695743147,0.009569574314705065
water_e200_t0020,200.0,20.0,74.5,20.09802981617969,0.4901490808984388
water_e200_t0050,200.0,50.0,74.5,50.37276147872828,0.745522957456557
water_e200_t0100,200.0,100.0,74.5,100.83170168222188,0.8317016822218859
