case_id,material,energy_mev,thickness_mm,plane,tree_entries,primary_entries_raw,primary_unique_events,duplicate_primary_events,finite,position_z_mean_mm,position_z_std_mm,position_z_expected_mm,position_z_max_abs_error_mm,root_bytes
water_e200_t0100,Water,200.0,100.0,in,100231,100190,100190,0,True,-50.49999950000001,7.105427357601002e-15,-50.5,4.999999987376214e-07,2845462
water_e200_t0100,Water,200.0,100.0,out,92049,89637,89637,0,True,50.5000005,0.0,50.5,4.999999987376214e-07,5364064
aluminium_e200_t0005,Aluminium,200.0,5.0,in,100117,100069,100069,0,True,-2.9999995000000004,4.440892098500626e-16,-3.0,5.00000000069889e-07,2841912
aluminium_e200_t0005,Aluminium,200.0,5.0,out,99859,98830,98830,0,True,3.0000004999999996,4.440892098500626e-16,3.0,5.00000000069889e-07,5742704
aluminium_e200_t0010,Aluminium,200.0,10.0,in,99811,99741,99741,0,True,-5.499999499999999,1.7763568394002505e-15,-5.5,4.999999996257998e-07,2839807
aluminium_e200_t0010,Aluminium,200.0,10.0,out,99021,97301,97301,0,True,5.500000499999999,8.881784197001252e-16,5.5,4.999999996257998e-07,5726066
aluminium_e200_t0020,Aluminium,200.0,20.0,in,100062,100002,100002,0,True,-10.499999500000001,1.7763568394002505e-15,-10.5,5.000000005139782e-07,2841625
aluminium_e200_t0020,Aluminium,200.0,20.0,out,97687,95208,95208,0,True,10.500000499999999,1.7763568394002505e-15,10.5,5.000000005139782e-07,5673721
aluminium_e200_t0050,Aluminium,200.0,50.0,in,100096,100024,100024,0,True,-25.4999995,0.0,-25.5,4.999999987376214e-07,2843923
aluminium_e200_t0050,Aluminium,200.0,50.0,out,91401,88444,88444,0,True,25.500000500000002,3.552713678800501e-15,25.5,4.999999987376214e-07,5342823
air_e200_t0020,Air,200.0,20.0,in,99774,99773,99773,0,True,-10.4999995,0.0,-10.5,5.000000005139782e-07,2831510
air_e200_t0020,Air,200.0,20.0,out,99771,99769,99769,0,True,10.5000005,0.0,10.5,5.000000005139782e-07,5521668
air_e200_t0220,Air,200.0,220.0,in,100364,100364,100364,0,True,-110.49999950000006,5.684341886080802e-14,-110.5,4.999999987376214e-07,2844936
air_e200_t0220,Air,200.0,220.0,out,100330,100322,100322,0,True,110.50000049999994,5.684341886080802e-14,110.5,4.999999987376214e-07,5639320
air_e200_t1000,Air,200.0,1000.0,in,99960,99958,99958,0,True,-500.4999995,0.0,-500.5,4.999999987376214e-07,2836544
air_e200_t1000,Air,200.0,1000.0,out,99693,99684,99684,0,True,500.5000005,0.0,500.5,4.999999987376214e-07,5665811
air_e200_t2000,Air,200.0,2000.0,in,99835,99835,99835,0,True,-1000.4999995000001,1.1368683772161603e-13,-1000.5,5.000000555810402e-07,2833103
air_e200_t2000,Air,200.0,2000.0,out,98396,98394,98394,0,True,1000.5000004999998,2.2737367544323206e-13,1000.5,5.000000555810402e-07,5611130
water_e220_t0005,Water,220.0,5.0,in,100473,100442,100442,0,True,-2.9999995000000013,1.3322676295501878e-15,-3.0,5.00000000069889e-07,2851376
water_e220_t0005,Water,220.0,5.0,out,100530,99960,99960,0,True,3.0000004999999987,1.3322676295501878e-15,3.0,5.00000000069889e-07,5740658
water_e220_t0010,Water,220.0,10.0,in,100001,99955,99955,0,True,-5.499999500000001,8.881784197001252e-16,-5.5,4.999999996257998e-07,2838226
water_e220_t0010,Water,220.0,10.0,out,99985,99021,99021,0,True,5.5000005,0.0,5.5,4.999999996257998e-07,5728078
water_e220_t0020,Water,220.0,20.0,in,99378,99327,99327,0,True,-10.4999995,0.0,-10.5,5.000000005139782e-07,2826806
water_e220_t0020,Water,220.0,20.0,out,98972,97463,97463,0,True,10.500000499999999,1.7763568394002505e-15,10.5,5.000000005139782e-07,5694325
water_e220_t0050,Water,220.0,50.0,in,99614,99576,99576,0,True,-25.499999499999998,3.552713678800501e-15,-25.5,4.999999987376214e-07,2831432
water_e220_t0050,Water,220.0,50.0,out,96968,94723,94723,0,True,25.500000500000002,3.552713678800501e-15,25.5,4.999999987376214e-07,5616295
water_e220_t0100,Water,220.0,100.0,in,100166,100110,100110,0,True,-50.499999499999994,7.105427357601002e-15,-50.5,4.999999987376214e-07,2843970
water_e220_t0100,Water,220.0,100.0,out,92257,89667,89667,0,True,50.5000005,0.0,50.5,4.999999987376214e-07,5373334
aluminium_e220_t0005,Aluminium,220.0,5.0,in,100099,100051,100051,0,True,-2.9999995000000013,1.3322676295501878e-15,-3.0,5.00000000069889e-07,2841207
aluminium_e220_t0005,Aluminium,220.0,5.0,out,99940,98828,98828,0,True,3.0000004999999996,4.440892098500626e-16,3.0,5.00000000069889e-07,5744601
aluminium_e220_t0010,Aluminium,220.0,10.0,in,99943,99889,99889,0,True,-5.4999995,0.0,-5.5,4.999999996257998e-07,2842061
aluminium_e220_t0010,Aluminium,220.0,10.0,out,99310,97540,97540,0,True,5.5000005,0.0,5.5,4.999999996257998e-07,5737721
aluminium_e220_t0020,Aluminium,220.0,20.0,in,99856,99800,99800,0,True,-10.4999995,0.0,-10.5,5.000000005139782e-07,2839828
aluminium_e220_t0020,Aluminium,220.0,20.0,out,97791,95103,95103,0,True,10.5000005,0.0,10.5,5.000000005139782e-07,5678343
